narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,sequence_id
P01_01_189,P01,P01_01,14:28.2,14:29.6,14:31.0,52175,52261,take knife,take,0,knife,4,['knife'],[4],P01_01_seq_00049
P01_01_193,P01,P01_01,14:45.3,14:49.5,14:50.9,53371,53455,put down tofu container,put-down,1,container:tofu,21,['container:tofu'],[21],P01_01_seq_00050
P01_01_197,P01,P01_01,15:10.0,15:09.3,15:11.5,54559,54688,throw something into the bin,throw-into,13,bin,36,['bin'],[36],P01_01_seq_00051
P01_01_202,P01,P01_01,15:27.5,15:28.6,15:30.0,55717,55797,take rice,take,0,rice,55,['rice'],[55],P01_01_seq_00052
P01_01_205,P01,P01_01,15:46.1,15:45.5,15:51.6,56727,57096,fold rice bag,fold,28,bag:rice,19,['bag:rice'],[19],P01_01_seq_00053
P01_01_208,P01,P01_01,15:53.0,15:55.1,15:56.9,57303,57412,put rice into cupboard,put-into,5,rice,55,"['rice', 'cupboard']","[55, 3]",P01_01_seq_00054
P01_01_212,P01,P01_01,16:10.7,16:11.3,16:12.0,58275,58317,open top,open,3,top,42,['top'],[42],P01_01_seq_00055
P01_01_216,P01,P01_01,16:30.3,16:29.6,16:33.6,59376,59616,take cutlery,take,0,cutlery,58,['cutlery'],[58],P01_01_seq_00056
P01_01_220,P01,P01_01,16:48.4,16:49.9,16:50.9,60596,60653,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00057
P01_01_223,P01,P01_01,17:01.9,17:00.6,17:05.1,61233,61503,stir vegetables,stir,10,vegetable,94,['vegetable'],[94],P01_01_seq_00058
P01_01_226,P01,P01_01,17:14.7,17:15.0,17:17.6,62102,62257,take spoon,take,0,spoon,1,['spoon'],[1],P01_01_seq_00059
P01_01_23,P01,P01_01,00:59.1,00:59.1,01:02.3,3543,3738,open tap,turn-on,6,tap,0,['tap'],[0],P01_01_seq_00007
P01_01_232,P01,P01_01,17:30.3,17:31.9,17:47.4,63112,64045,stir vegetables into a bowl,stir-into,10,vegetable,94,"['vegetable', 'bowl']","[94, 7]",P01_01_seq_00060
P01_01_237,P01,P01_01,17:57.6,17:59.0,18:03.6,64741,65014,close container,close,4,container,21,['container'],[21],P01_01_seq_00061
P01_01_241,P01,P01_01,18:12.3,18:14.3,18:23.4,65655,66203,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]",P01_01_seq_00062
P01_01_245,P01,P01_01,19:31.6,19:32.2,19:38.4,70329,70704,stir rice,stir,10,rice,55,['rice'],[55],P01_01_seq_00063
P01_01_248,P01,P01_01,20:12.5,20:14.2,20:15.4,72849,72924,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00064
P01_01_253,P01,P01_01,20:29.6,20:31.6,20:36.0,73894,74162,taste rice,taste,35,rice,55,['rice'],[55],P01_01_seq_00065
P01_01_256,P01,P01_01,20:50.0,20:51.0,20:53.0,75063,75179,take drainer,take,0,drainer,110,['drainer'],[110],P01_01_seq_00066
P01_01_262,P01,P01_01,21:18.9,21:20.7,21:21.5,76843,76892,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00067
P01_01_266,P01,P01_01,21:42.6,21:44.5,21:45.5,78270,78327,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00068
P01_01_27,P01,P01_01,01:18.8,01:19.0,01:22.8,4739,4967,still washing carrot,wash,2,carrot,41,['carrot'],[41],P01_01_seq_00008
P01_01_270,P01,P01_01,22:22.3,22:20.4,22:33.5,80422,81210,still waiting for rice,wait-for,72,rice,55,['rice'],[55],P01_01_seq_00069
P01_01_274,P01,P01_01,22:45.8,22:46.0,22:49.6,81960,82176,put down spoon,put-down,1,spoon,1,['spoon'],[1],P01_01_seq_00070
P01_01_277,P01,P01_01,23:16.0,23:16.6,23:21.3,83793,84077,drain saucepan,drain,37,saucepan,5,['saucepan'],[5],P01_01_seq_00071
P01_01_281,P01,P01_01,23:33.6,23:34.7,23:44.2,84882,85453,scoop rice,scoop,16,rice,55,['rice'],[55],P01_01_seq_00072
P01_01_285,P01,P01_01,23:48.6,23:49.5,23:50.2,85769,85814,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00073
P01_01_288,P01,P01_01,23:58.3,23:57.0,24:03.6,86217,86617,pour curry powder,pour,9,powder:curry,138,['powder:curry'],[138],P01_01_seq_00074
P01_01_293,P01,P01_01,24:03.9,24:04.9,24:17.0,86692,87420,stir rice,stir,10,rice,55,['rice'],[55],P01_01_seq_00075
P01_01_298,P01,P01_01,25:06.9,25:08.1,25:18.1,90483,91084,stir rice,stir,10,rice,55,['rice'],[55],P01_01_seq_00076
P01_01_3,P01,P01_01,00:11.0,00:12.8,00:14.0,766,839,open fridge,open,3,fridge,12,['fridge'],[12],P01_01_seq_00002
P01_01_302,P01,P01_01,25:49.0,25:50.1,25:54.1,93006,93247,close curry powder,close,4,powder:curry,138,['powder:curry'],[138],P01_01_seq_00077
P01_01_305,P01,P01_01,25:56.0,25:56.8,25:58.7,93409,93520,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00078
P01_01_31,P01,P01_01,01:32.1,01:32.5,01:34.1,5551,5645,take grater,take,0,grater,96,['grater'],[96],P01_01_seq_00009
P01_01_313,P01,P01_01,26:14.4,26:15.4,26:17.3,94522,94637,take plate,take,0,plate,2,['plate'],[2],P01_01_seq_00079
P01_01_317,P01,P01_01,26:33.1,26:33.9,26:39.8,95632,95991,scoop rice,scoop,16,rice,55,['rice'],[55],P01_01_seq_00080
P01_01_320,P01,P01_01,26:54.9,26:46.2,26:58.7,96374,97123,scoop rice,scoop,16,rice,55,['rice'],[55],P01_01_seq_00081
P01_01_324,P01,P01_01,27:05.6,27:07.1,27:09.7,97624,97782,washing pan,wash,2,pan,5,['pan'],[5],P01_01_seq_00082
P01_01_35,P01,P01_01,01:40.2,01:43.0,01:43.8,6181,6226,close cupboard,close,4,cupboard,3,['cupboard'],[3],P01_01_seq_00010
P01_01_38,P01,P01_01,02:04.5,02:02.1,02:07.0,7327,7618,turn on hob,turn-on,6,hob,24,['hob'],[24],P01_01_seq_00011
P01_01_42,P01,P01_01,02:48.8,02:45.8,03:00.3,9945,10816,still dicing courgette,dice,7,courgette,76,['courgette'],[76],P01_01_seq_00012
P01_01_45,P01,P01_01,04:08.4,04:10.1,04:17.9,15003,15472,pour courgette onto pan,pour-onto,9,courgette,76,"['courgette', 'pan']","[76, 5]",P01_01_seq_00013
P01_01_48,P01,P01_01,04:27.0,04:28.6,04:29.2,16114,16154,close drawer,close,4,drawer,8,['drawer'],[8],P01_01_seq_00014
P01_01_52,P01,P01_01,04:39.9,04:41.4,04:42.9,16887,16975,open salt,open,3,salt,38,['salt'],[38],P01_01_seq_00015
P01_01_56,P01,P01_01,04:53.0,04:54.4,04:55.6,17661,17736,put down spatula,put-down,1,spatula,20,['spatula'],[20],P01_01_seq_00016
P01_01_6,P01,P01_01,00:18.8,00:18.2,00:21.1,1091,1268,take tofu,take,0,tofu,81,['tofu'],[81],P01_01_seq_00003
P01_01_62,P01,P01_01,05:17.2,05:18.3,05:20.0,19095,19200,put down celery,put-down,1,celery,223,['celery'],[223],P01_01_seq_00017
P01_01_65,P01,P01_01,05:41.3,05:41.6,05:46.2,20498,20772,pour celery onto pan,pour-onto,9,celery,223,"['celery', 'pan']","[223, 5]",P01_01_seq_00018
P01_01_69,P01,P01_01,05:58.3,06:00.2,06:01.8,21612,21710,open fridge,open,3,fridge,12,['fridge'],[12],P01_01_seq_00019
P01_01_73,P01,P01_01,06:07.1,06:08.4,06:18.0,22102,22681,stir something,stir,10,spatula,20,['spatula'],[20],P01_01_seq_00020
P01_01_79,P01,P01_01,06:26.8,06:25.5,06:28.4,23128,23302,close container,close,4,container,21,['container'],[21],P01_01_seq_00021
P01_01_84,P01,P01_01,06:39.7,06:48.4,07:02.2,24503,25330,still cutting onion,cut,7,onion,16,['onion'],[16],P01_01_seq_00022
P01_01_87,P01,P01_01,07:09.1,07:09.7,07:13.8,25784,26028,open tap,turn-on,6,tap,0,['tap'],[0],P01_01_seq_00023
P01_01_92,P01,P01_01,07:28.2,07:30.1,07:30.8,27004,27048,take spatula,take,0,spatula,20,['spatula'],[20],P01_01_seq_00024
P01_01_96,P01,P01_01,07:46.5,07:49.1,07:50.3,28148,28219,take glass,take,0,glass,10,['glass'],[10],P01_01_seq_00025
P01_03_0,P01,P01_03,00:00.6,00:00.3,00:02.1,16,126,open door,open,3,door,3,['door'],[3],P01_03_seq_00001
P01_03_10,P01,P01_03,00:24.4,00:24.8,00:25.9,1486,1555,put down container,put-down,1,container,21,['container'],[21],P01_03_seq_00004
P01_03_15,P01,P01_03,00:36.4,00:35.7,00:39.0,2144,2342,unfold tablecloth,unfold,39,tablecloth,17,['tablecloth'],[17],P01_03_seq_00005
P01_03_19,P01,P01_03,00:50.7,00:50.8,00:51.6,3045,3096,put down cup,put-down,1,cup,13,['cup'],[13],P01_03_seq_00006
P01_03_23,P01,P01_03,00:58.6,00:57.9,01:04.8,3472,3886,pour soy milk,pour,9,milk:soy,64,['milk:soy'],[64],P01_03_seq_00007
P01_03_26,P01,P01_03,01:11.6,01:11.3,01:12.1,4276,4326,put down the soy milk,put-down,1,milk:soy,64,['milk:soy'],[64],P01_03_seq_00008
P01_03_29,P01,P01_03,01:18.3,01:18.3,01:19.3,4700,4761,take spoon,take,0,spoon,1,['spoon'],[1],P01_03_seq_00009
P01_03_32,P01,P01_03,01:23.2,01:23.3,01:24.2,5000,5053,open cupboard,open,3,cupboard,3,['cupboard'],[3],P01_03_seq_00010
P01_03_35,P01,P01_03,01:29.0,01:32.4,01:35.0,5541,5700,put down cereals,put-down,1,cereal,99,['cereal'],[99],P01_03_seq_00011
P01_03_4,P01,P01_03,00:11.5,00:11.6,00:13.1,696,787,open fridge,open,3,fridge,12,['fridge'],[12],P01_03_seq_00002
P01_03_7,P01,P01_03,00:15.5,00:16.9,00:18.0,1012,1078,put back container,put-back,1,container,21,['container'],[21],P01_03_seq_00003
P01_05_0,P01,P01_05,00:04.7,00:04.1,00:05.9,248,355,open fridge,open,3,fridge,12,['fridge'],[12],P01_05_seq_00001
P01_05_101,P01,P01_05,05:38.8,05:37.8,05:40.4,20269,20425,open cupboard,open,3,cupboard,3,['cupboard'],[3],P01_05_seq_00026
P01_05_104,P01,P01_05,05:48.7,05:47.5,05:49.7,20848,20979,put pan on hob,put-on,1,pan,5,"['pan', 'hob']","[5, 24]",P01_05_seq_00027
P01_05_107,P01,P01_05,06:28.6,06:24.3,06:30.7,23055,23443,still pouring water,pour,9,water,27,['water'],[27],P01_05_seq_00028
P01_05_116,P01,P01_05,06:53.7,06:53.0,06:54.2,24778,24849,put down salt,put-down,1,salt,38,['salt'],[38],P01_05_seq_00029
P01_05_120,P01,P01_05,07:06.4,07:05.7,07:07.8,25541,25667,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],P01_05_seq_00030
P01_05_123,P01,P01_05,07:24.8,07:20.4,07:35.2,26422,27313,open sausage box,open,3,box:sausage,23,['box:sausage'],[23],P01_05_seq_00031
P01_05_127,P01,P01_05,07:49.2,07:49.0,07:50.0,28137,28197,open cupboard,open,3,cupboard,3,['cupboard'],[3],P01_05_seq_00032
P01_05_13,P01,P01_05,00:40.4,00:40.3,00:41.6,2418,2493,put down plate,put-down,1,plate,2,['plate'],[2],P01_05_seq_00004
P01_05_131,P01,P01_05,07:58.5,07:57.5,07:58.3,28652,28698,move glass,move,11,glass,10,['glass'],[10],P01_05_seq_00033
P01_05_134,P01,P01_05,08:01.9,08:01.7,08:03.2,28900,28989,open drawer,open,3,drawer,8,['drawer'],[8],P01_05_seq_00034
P01_05_137,P01,P01_05,08:10.2,08:10.0,08:10.8,29401,29446,put down bread,put-down,1,bread,33,['bread'],[33],P01_05_seq_00035
P01_05_140,P01,P01_05,08:28.0,08:27.6,08:28.9,30457,30535,put down knife,put-down,1,knife,4,['knife'],[4],P01_05_seq_00036
P01_05_143,P01,P01_05,08:34.6,08:35.9,08:37.8,30953,31067,fold bag,fold,28,bag,19,['bag'],[19],P01_05_seq_00037
P01_05_146,P01,P01_05,08:49.3,08:45.7,08:48.3,31540,31696,take table cloth,take,0,cloth:table,17,['cloth:table'],[17],P01_05_seq_00038
P01_05_149,P01,P01_05,08:56.9,08:57.3,08:59.4,32240,32365,dry blades,dry,14,blade,4,['blade'],[4],P01_05_seq_00039
P01_05_154,P01,P01_05,09:08.1,09:07.4,09:09.3,32841,32959,put down fork,put-down,1,fork,14,['fork'],[14],P01_05_seq_00040
P01_05_157,P01,P01_05,09:27.6,09:27.5,09:30.3,34050,34218,turn on tap,turn-on,6,tap,0,['tap'],[0],P01_05_seq_00041
P01_05_16,P01,P01_05,00:49.3,00:48.5,00:49.2,2907,2952,open cupboard,open,3,cupboard,3,['cupboard'],[3],P01_05_seq_00005
P01_05_161,P01,P01_05,10:32.8,10:29.8,10:34.5,37786,38068,take fruit box,take,0,box:fruit,23,['box:fruit'],[23],P01_05_seq_00042
P01_05_164,P01,P01_05,10:49.3,10:49.6,10:50.7,38977,39040,open bin,open,3,bin,36,['bin'],[36],P01_05_seq_00043
P01_05_169,P01,P01_05,11:12.2,10:58.7,11:22.6,39523,40959,continue washing fruit,wash,2,fruit,254,['fruit'],[254],P01_05_seq_00044
P01_05_173,P01,P01_05,11:32.5,11:31.8,11:32.4,41505,41544,adjust hob,adjust,17,hob,24,['hob'],[24],P01_05_seq_00045
P01_05_176,P01,P01_05,11:46.2,11:45.9,11:47.0,42351,42417,adjust hob,adjust,17,hob,24,['hob'],[24],P01_05_seq_00046
P01_05_179,P01,P01_05,12:06.4,12:06.0,12:15.6,43559,44136,dry hands,dry,14,hand,11,['hand'],[11],P01_05_seq_00047
P01_05_182,P01,P01_05,12:29.7,12:29.0,12:30.9,44942,45051,hang clothes,hang,41,clothes,73,['clothes'],[73],P01_05_seq_00048
P01_05_185,P01,P01_05,13:09.1,13:08.1,13:09.2,47286,47353,put down tongs,put-down,1,tongs,142,['tongs'],[142],P01_05_seq_00049
P01_05_188,P01,P01_05,13:19.4,13:19.8,13:20.6,47988,48033,put down spoon,put-down,1,spoon,1,['spoon'],[1],P01_05_seq_00050
P01_05_19,P01,P01_05,00:58.8,00:56.3,01:00.0,3378,3600,take saucepan,take,0,saucepan,5,['saucepan'],[5],P01_05_seq_00006
P01_05_191,P01,P01_05,15:11.0,15:10.0,15:11.7,54603,54703,adjust hob,adjust,17,hob,24,['hob'],[24],P01_05_seq_00051
P01_05_195,P01,P01_05,15:56.0,15:52.4,15:55.3,57142,57319,take lighter,take,0,lighter,130,['lighter'],[130],P01_05_seq_00052
P01_05_199,P01,P01_05,16:11.7,16:11.8,16:14.1,58308,58443,open drawer,open,3,drawer,8,['drawer'],[8],P01_05_seq_00053
P01_05_204,P01,P01_05,16:22.2,16:22.4,16:23.4,58945,59001,flip sausage,flip,22,sausage,86,['sausage'],[86],P01_05_seq_00054
P01_05_207,P01,P01_05,16:35.1,16:34.3,16:36.7,59655,59800,flip sausage,flip,22,sausage,86,['sausage'],[86],P01_05_seq_00055
P01_05_210,P01,P01_05,17:15.5,17:10.7,17:13.5,61845,62008,flip sausage,flip,22,sausage,86,['sausage'],[86],P01_05_seq_00056
P01_05_213,P01,P01_05,17:30.8,17:30.1,17:31.8,63005,63108,flip sausage,flip,22,sausage,86,['sausage'],[86],P01_05_seq_00057
P01_05_216,P01,P01_05,18:02.7,18:02.6,18:03.4,64954,65002,take knife,take,0,knife,4,['knife'],[4],P01_05_seq_00058
P01_05_219,P01,P01_05,18:11.9,18:09.2,18:11.5,65350,65488,adjust hob,adjust,17,hob,24,['hob'],[24],P01_05_seq_00059
P01_05_22,P01,P01_05,01:06.6,01:10.3,01:13.8,4217,4429,put bowls into cupboard,put-into,5,bowl,7,"['bowl', 'cupboard']","[7, 3]",P01_05_seq_00007
P01_05_222,P01,P01_05,18:29.9,18:19.8,18:26.7,65986,66404,turn sausage,turn,23,sausage,86,['sausage'],[86],P01_05_seq_00060
P01_05_225,P01,P01_05,18:51.3,18:47.0,18:50.3,67620,67816,turn sausage,turn,23,sausage,86,['sausage'],[86],P01_05_seq_00061
P01_05_228,P01,P01_05,19:00.9,19:00.6,19:01.9,68434,68515,put down tong,put-down,1,tong,142,['tong'],[142],P01_05_seq_00062
P01_05_232,P01,P01_05,19:31.3,19:30.0,19:31.9,70200,70311,take colander,take,0,colander,39,['colander'],[39],P01_05_seq_00063
P01_05_235,P01,P01_05,19:43.7,19:43.1,19:47.8,70987,71266,pour potato onto plate,pour-onto,9,potato,30,"['potato', 'plate']","[30, 2]",P01_05_seq_00064
P01_05_239,P01,P01_05,19:54.9,19:54.4,19:55.1,71666,71707,take sausages,take,0,sausage,86,['sausage'],[86],P01_05_seq_00065
P01_05_243,P01,P01_05,20:19.2,20:13.3,20:19.6,72797,73179,wash pan,wash,2,pan,5,['pan'],[5],P01_05_seq_00066
P01_05_249,P01,P01_05,20:32.2,20:31.0,20:37.7,73858,74264,pour oil,pour,9,oil,31,['oil'],[31],P01_05_seq_00067
P01_05_25,P01,P01_05,01:22.0,01:21.4,01:22.8,4882,4965,take glass,take,0,glass,10,['glass'],[10],P01_05_seq_00008
P01_05_254,P01,P01_05,20:49.9,20:48.5,20:55.9,74909,75352,sprinkle rosemary,sprinkle,42,rosemary,277,['rosemary'],[277],P01_05_seq_00068
P01_05_28,P01,P01_05,01:34.1,01:33.2,01:34.5,5593,5667,take cloth,take,0,cloth,17,['cloth'],[17],P01_05_seq_00009
P01_05_32,P01,P01_05,01:46.1,01:46.1,01:46.9,6363,6412,put ladle back into drawer,put,1,ladle,97,"['ladle', 'drawer']","[97, 8]",P01_05_seq_00010
P01_05_35,P01,P01_05,01:53.1,01:51.9,01:52.5,6716,6750,put down knife,put-down,1,knife,4,['knife'],[4],P01_05_seq_00011
P01_05_38,P01,P01_05,01:59.5,01:59.7,02:01.8,7179,7306,open drawer,open,3,drawer,8,['drawer'],[8],P01_05_seq_00012
P01_05_43,P01,P01_05,02:07.0,02:06.5,02:07.8,7587,7670,open drawer,open,3,drawer,8,['drawer'],[8],P01_05_seq_00013
P01_05_48,P01,P01_05,02:31.2,02:24.5,02:26.3,8670,8779,close cupboard,close,4,cupboard,3,['cupboard'],[3],P01_05_seq_00014
P01_05_5,P01,P01_05,00:17.8,00:16.3,00:19.9,979,1192,close fridge,close,4,fridge,12,['fridge'],[12],P01_05_seq_00002
P01_05_53,P01,P01_05,02:38.1,02:39.5,02:40.6,9567,9633,move sausages,move,11,sausage,86,['sausage'],[86],P01_05_seq_00015
P01_05_56,P01,P01_05,02:46.8,02:46.4,02:47.2,9985,10030,open kettle,open,3,kettle,44,['kettle'],[44],P01_05_seq_00016
P01_05_61,P01,P01_05,03:04.0,03:02.3,03:04.2,10938,11053,put down kettle,put-down,1,kettle,44,['kettle'],[44],P01_05_seq_00017
P01_05_65,P01,P01_05,03:11.9,03:11.2,03:12.2,11474,11530,put spoon,put,1,spoon,1,['spoon'],[1],P01_05_seq_00018
P01_05_71,P01,P01_05,03:19.3,03:19.2,03:19.8,11954,11989,close drawer,close,4,drawer,8,['drawer'],[8],P01_05_seq_00019
P01_05_75,P01,P01_05,03:32.7,03:43.1,03:58.9,13389,14332,peel potato,peel,19,potato,30,['potato'],[30],P01_05_seq_00020
P01_05_80,P01,P01_05,04:38.8,04:27.2,04:48.9,16033,17334,continue slicing potato,slice,7,potato,30,['potato'],[30],P01_05_seq_00021
P01_05_87,P01,P01_05,04:54.5,04:53.8,04:54.6,17630,17677,take saucepan,take,0,saucepan,5,['saucepan'],[5],P01_05_seq_00022
P01_05_9,P01,P01_05,00:30.1,00:30.0,00:31.1,1801,1866,open cupboard,open,3,cupboard,3,['cupboard'],[3],P01_05_seq_00003
P01_05_91,P01,P01_05,05:00.4,04:59.4,05:00.8,17962,18051,move cutting board,move,11,board:cutting,18,['board:cutting'],[18],P01_05_seq_00023
P01_05_94,P01,P01_05,05:11.0,05:11.1,05:11.7,18666,18700,throw skin into bin,throw-into,13,skin,48,"['skin', 'bin']","[48, 36]",P01_05_seq_00024
P01_05_97,P01,P01_05,05:25.6,05:25.6,05:26.5,19534,19588,open bin,open,3,bin,36,['bin'],[36],P01_05_seq_00025
P01_07_0,P01,P01_07,00:01.6,00:00.7,00:01.5,42,89,switch on lights,switch-on,6,light,114,['light'],[114],P01_07_seq_00001
P01_07_10,P01,P01_07,00:33.3,00:32.4,00:34.3,1945,2059,unfold table cloth,unfold,39,cloth:table,17,['cloth:table'],[17],P01_07_seq_00004
P01_07_14,P01,P01_07,00:46.1,00:44.2,00:45.6,2654,2737,take cutting board,take,0,board:cutting,18,['board:cutting'],[18],P01_07_seq_00005
P01_07_18,P01,P01_07,00:57.2,00:56.0,00:57.1,3363,3426,close cupboard.,close,4,cupboard,3,['cupboard'],[3],P01_07_seq_00006
P01_07_21,P01,P01_07,01:02.7,01:00.6,01:03.1,3638,3787,put plate into cupboard.,put-into,5,plate,2,"['plate', 'cupboard']","[2, 3]",P01_07_seq_00007
P01_07_25,P01,P01_07,01:09.4,01:07.1,01:09.2,4027,4151,take saucepan.,take,0,saucepan,5,['saucepan'],[5],P01_07_seq_00008
P01_07_28,P01,P01_07,01:16.9,01:15.4,01:16.9,4526,4615,put fry pan into cupboard.,put-into,5,pan:fry,5,"['pan:fry', 'cupboard']","[5, 3]",P01_07_seq_00009
P01_07_31,P01,P01_07,01:25.5,01:24.3,01:25.2,5059,5111,take colander.,take,0,colander,39,['colander'],[39],P01_07_seq_00010
P01_07_35,P01,P01_07,01:32.7,01:31.0,01:31.9,5461,5512,take glass.,take,0,glass,10,['glass'],[10],P01_07_seq_00011
P01_07_38,P01,P01_07,01:43.4,01:42.3,01:43.9,6137,6232,open fridge,open,3,fridge,12,['fridge'],[12],P01_07_seq_00012
P01_07_4,P01,P01_07,00:14.8,00:13.2,00:14.8,790,886,take knife,take,0,knife,4,['knife'],[4],P01_07_seq_00002
P01_07_43,P01,P01_07,01:53.5,01:52.4,01:57.4,6741,7043,pour soy milk into cup,pour-into,9,milk:soy,64,"['milk:soy', 'cup']","[64, 13]",P01_07_seq_00013
P01_07_47,P01,P01_07,02:05.1,02:03.7,02:05.3,7419,7515,close fridge,close,4,fridge,12,['fridge'],[12],P01_07_seq_00014
P01_07_50,P01,P01_07,02:13.7,02:12.8,02:14.2,7968,8052,close cupboard,close,4,cupboard,3,['cupboard'],[3],P01_07_seq_00015
P01_07_54,P01,P01_07,02:23.4,02:22.3,02:24.0,8541,8638,unfold cereal bag,unfold,39,bag:cereal,19,['bag:cereal'],[19],P01_07_seq_00016
P01_07_7,P01,P01_07,00:21.7,00:21.0,00:22.1,1262,1326,open drawer,open,3,drawer,8,['drawer'],[8],P01_07_seq_00003
P01_09_0,P01,P01_09,00:01.1,00:01.1,00:03.0,68,180,adjust lights,adjust,17,light,114,['light'],[114],P01_09_seq_00001
P01_09_10,P01,P01_09,00:25.1,00:24.6,00:26.1,1474,1567,take soy milk,take,0,milk:soy,64,['milk:soy'],[64],P01_09_seq_00004
P01_09_101,P01,P01_09,05:35.6,05:34.4,05:35.9,20064,20152,put down bowl,put-down,1,bowl,7,['bowl'],[7],P01_09_seq_00028
