narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,quality_score,combined_class
P26_02_19,P26,P26_02,00:01:15.360,00:01:19.36,00:01:20.36,4761,4821,place salt,place,1,salt,38,['salt'],[38],0.96,1_38
P15_02_32,P15,P15_02,05:52.4,05:53.1,06:04.0,21187,21837,put potato in the pan,put-in,5,potato,30,"['potato', 'pan']","[30, 5]",1.0,5_30
P03_04_176,P03,P03_04,12:02.3,11:59.5,12:00.8,43167,43250,take onions,take,0,onion,16,['onion'],[16],0.4,0_16
P35_109_229,P35,P35_109,15:42.2,15:42.2,15:43.2,47108,47158,put down glass,put-down,1,glass,10,['glass'],[10],0.92,1_10
P30_107_248,P30,P30_107,12:46.4,12:45.9,12:47.0,38296,38349,put chopping board down,put-down,1,board:chopping,18,['board:chopping'],[18],0.84,1_18
P22_117_364,P22,P22_117,13:35.1,13:34.5,13:40.7,40727,41034,stir courgettes,stir,10,courgette,76,['courgette'],[76],0.96,10_76
P01_02_43,P01,P01_02,00:02:21.080,00:02:20.87,00:02:26.62,8452,8797,wash cutting board,wash,2,board:cutting,18,['board:cutting'],[18],1.0,2_18
P27_101_48,P27,P27_101,02:30.6,02:30.8,02:31.6,7539,7580,put down glass,put-down,1,glass,10,['glass'],[10],0.92,1_10
P30_101_197,P30,P30_101,06:23.9,06:22.7,06:23.6,19135,19181,put down pitta piece onto plate,put-down,1,piece:pitta,33,"['piece:pitta', 'plate']","[33, 2]",0.8,1_33
P11_103_50,P11,P11_103,02:08.9,02:08.6,02:09.5,6427,6473,turn off tap,turn-off,8,tap,0,['tap'],[0],0.92,8_0
P28_112_17,P28,P28_112,00:45.2,00:45.7,00:46.3,2283,2314,take clothes,take,0,clothes,73,['clothes'],[73],1.0,0_73
P22_07_566,P22,P22_07,27:19.8,27:18.3,27:27.8,98299,98869,lather grill,lather,2,grill,24,['grill'],[24],0.96,2_24
P35_105_140,P35,P35_105,10:09.4,10:08.1,10:10.2,30404,30508,move pan,move,11,pan,5,['pan'],[5],0.8,11_5
P22_07_597,P22,P22_07,29:00.1,28:58.8,29:02.5,104328,104548,clean stove top,clean,2,top:stove,24,['top:stove'],[24],1.0,2_24
P28_14_53,P28,P28_14,02:44.5,02:44.5,02:46.2,9872,9970,put dish washing liquid in sponge,put,1,liquid:dish:washing,22,"['liquid:dish:washing', 'sponge']","[22, 9]",0.88,1_22
P22_117_428,P22,P22_117,15:52.3,15:50.6,15:51.5,47527,47577,close fridge,close,4,fridge,12,['fridge'],[12],1.0,4_12
P02_123_410,P02,P02_123,00:20:53.665,00:20:50.55,00:20:54.18,62527,62709,move plate,move,11,plate,2,['plate'],[2],0.8,11_2
P25_107_389,P25,P25_107,28:08.6,28:05.6,28:10.7,84279,84534,flip aubergine,flip,22,aubergine,67,['aubergine'],[67],1.0,22_67
P12_01_41,P12,P12_01,00:04:02.219,00:04:02.02,00:04:03.04,14521,14582,take mozzarella,take,0,mozzarella,32,['mozzarella'],[32],0.76,0_32
P04_110_146,P04,P04_110,05:41.6,05:40.3,05:41.6,17015,17079,open piece of steamed bun,open,3,bun:steamed,33,['bun:steamed'],[33],0.88,3_33
P01_03_32,P01,P01_03,01:23.2,01:23.3,01:24.2,5000,5053,open cupboard,open,3,cupboard,3,['cupboard'],[3],0.92,3_3
P23_02_196,P23,P23_02,26:52.0,26:51.7,26:52.4,96700,96746,open the tap,turn-on,6,tap,0,['tap'],[0],0.8,6_0
P24_08_46,P24,P24_08,03:09.6,03:09.1,03:10.7,11347,11440,put onion,put,1,onion,16,['onion'],[16],0.96,1_16
P01_09_655,P01,P01_09,45:38.9,45:38.1,45:40.7,164283,164440,close oven,close,4,oven,46,['oven'],[46],1.0,4_46
P06_101_235,P06,P06_101,16:52.2,16:50.6,16:51.8,50529,50588,pick up spices,pick-up,0,spice,85,['spice'],[85],0.96,0_85
P30_109_16,P30,P30_109,00:00:22.603,00:00:21.43,00:00:24.69,1071,1234,put tupperware lid on tupperware,put-on,1,lid:tupperware,6,"['lid:tupperware', 'tupperware']","[6, 23]",0.84,1_6
P30_111_278,P30,P30_111,11:17.6,11:16.8,11:17.9,33842,33896,take scotch egg box,take,0,box:scotch:egg,23,['box:scotch:egg'],[23],0.92,0_23
P03_19_56,P03,P03_19,00:02:47.200,00:02:45.51,00:02:48.41,9930,10104,close bottle,close,4,bottle,15,['bottle'],[15],0.84,4_15
P06_103_98,P06,P06_103,05:32.0,05:31.0,05:32.6,16550,16628,put lid on pan,put-on,1,lid,6,"['lid', 'pan']","[6, 5]",0.84,1_6
P29_01_111,P29,P29_01,00:06:22.369,00:05:49.60,00:05:50.92,20976,21055,pick up lid,pick-up,0,lid,6,['lid'],[6],0.96,0_6
P02_135_58,P02,P02_135,01:57.4,01:57.4,01:58.3,5868,5917,open fridge,open,3,fridge,12,['fridge'],[12],0.9,3_12
P28_103_130,P28,P28_103,13:18.2,13:17.9,13:18.7,39893,39933,take salt,take,0,salt,38,['salt'],[38],0.96,0_38
P12_02_112,P12,P12_02,18:27.1,18:24.8,18:28.8,66285,66525,throw away garbage,throw,13,garbage,54,['garbage'],[54],0.92,13_54
P22_07_323,P22,P22_07,15:12.0,15:09.5,15:11.8,54571,54707,put down pot,put-down,1,pot,29,['pot'],[29],0.8,1_29
P22_07_706,P22,P22_07,34:24.0,34:22.7,34:25.0,123764,123898,pick up teaspoon,pick-up,0,teaspoon,1,['teaspoon'],[1],1.0,0_1
P30_111_330,P30,P30_111,13:49.4,13:49.5,13:50.6,41473,41531,pick up v60,pick-up,0,v60,50,['v60'],[50],0.0,0_50
P27_103_60,P27,P27_103,00:02:42.622,00:02:41.60,00:02:43.79,8080,8189,turn page,turn,23,page,49,['page'],[49],0.92,23_49
P06_101_183,P06,P06_101,13:44.2,13:43.3,13:56.6,41165,41828,stir pan,stir,10,pan,5,['pan'],[5],0.8,10_5
P11_101_0,P11,P11_101,00:04.6,00:04.1,00:06.0,202,299,close drawer,close,4,drawer,8,['drawer'],[8],0.88,4_8
P04_121_562,P04,P04_121,22:47.9,22:47.1,22:48.2,68355,68410,put down bowl,put-down,1,bowl,7,['bowl'],[7],0.96,1_7
P04_04_108,P04,P04_04,10:49.4,10:48.8,10:49.8,38929,38990,rinse hands,rinse,2,hand,11,['hand'],[11],0.76,2_11
P27_101_154,P27,P27_101,06:46.4,06:46.3,06:46.9,20315,20344,put down spoon,put-down,1,spoon,1,['spoon'],[1],1.0,1_1
P22_07_129,P22,P22_07,05:17.3,05:05.0,05:07.3,18301,18436,cut onion,cut,7,onion,16,['onion'],[16],0.96,7_16
P28_103_68,P28,P28_103,04:45.9,04:44.2,04:48.1,14212,14406,throw rubbish,throw,13,rubbish,54,['rubbish'],[54],0.84,13_54
P11_103_69,P11,P11_103,03:08.6,03:08.7,03:09.4,9432,9469,pick up dish rag,pick-up,0,rag:dish,17,['rag:dish'],[17],0.88,0_17
P06_103_85,P06,P06_103,04:48.2,04:47.6,04:48.9,14382,14443,take lid off pan,take-off,12,lid,6,"['lid', 'pan']","[6, 5]",1.0,12_6
P08_21_84,P08,P08_21,04:33.1,04:33.6,04:34.7,16414,16479,open cupboard,open,3,cupboard,3,['cupboard'],[3],0.9,3_3
P02_130_297,P02,P02_130,16:52.7,16:52.5,16:53.3,50625,50664,pick up knife,pick-up,0,knife,4,['knife'],[4],1.0,0_4
P24_08_315,P24,P24_08,22:21.1,22:20.7,22:21.8,80440,80507,close door,close,4,door,3,['door'],[3],0.76,4_3
P30_107_388,P30,P30_107,19:21.3,19:19.5,19:21.1,57977,58055,take meat,take,0,meat,28,['meat'],[28],1.0,0_28
P28_108_0,P28,P28_108,00:00:03.164,00:00:02.68,00:00:03.58,134,179,take fork,take,0,fork,14,['fork'],[14],1.0,0_14
P30_11_44,P30,P30_11,00:02:18.840,00:02:15.08,00:02:19.99,8104,8399,rinse saucepan,rinse,2,saucepan,5,['saucepan'],[5],0.84,2_5
P27_101_245,P27,P27_101,10:59.9,10:59.1,10:59.6,32957,32981,turn on tap,turn-on,6,tap,0,['tap'],[0],0.96,6_0
P15_02_58,P15,P15_02,10:49.1,10:47.3,11:03.3,38839,39799,clean board,clean,2,board,18,['board'],[18],0.96,2_18
P09_104_4,P09,P09_104,00:00:19.000,00:00:15.64,00:00:25.74,782,1287,wash pan,wash,2,pan,5,['pan'],[5],0.96,2_5
P22_115_2,P22,P22_115,00:00:10.614,00:00:09.77,00:00:10.51,488,525,put down container,put-down,1,container,21,['container'],[21],1.0,1_21
P22_117_435,P22,P22_117,16:05.4,16:04.6,16:05.0,48230,48250,turn on tap,turn-on,6,tap,0,['tap'],[0],0.84,6_0
P30_111_120,P30,P30_111,04:46.8,04:46.3,04:47.5,14316,14374,pick up chopping board,pick-up,0,board:chopping,18,['board:chopping'],[18],0.88,0_18
P24_05_95,P24,P24_05,08:45.0,08:43.7,08:44.6,31420,31479,put chopping board,put,1,board:chopping,18,['board:chopping'],[18],0.92,1_18
P22_09_156,P22,P22_09,00:05:08.780,00:05:08.15,00:05:08.83,18489,18529,turn off tap,turn-off,8,tap,0,['tap'],[0],0.76,8_0
P02_132_7,P02,P02_132,00:23.4,00:22.8,00:23.7,1138,1183,put down lid,put-down,1,lid,6,['lid'],[6],0.88,1_6
P12_02_9,P12,P12_02,00:47.7,00:46.7,01:01.9,2799,3711,wash hands,wash,2,hand,11,['hand'],[11],0.72,2_11
P30_05_505,P30,P30_05,00:38:33.609,00:38:26.16,00:38:32.79,138369,138767,adjust gas temperature,adjust,17,temperature:gas,65,['temperature:gas'],[65],0.52,17_65
P22_13_222,P22,P22_13,00:07:36.250,00:07:35.40,00:07:36.30,27324,27378,rinse hands,rinse,2,hand,11,['hand'],[11],1.0,2_11
P10_04_319,P10,P10_04,35:14.7,34:57.7,34:58.4,125863,125902,put the garlic into the white pot,put-into,5,garlic,51,"['garlic', 'pot:white']","[51, 29]",0.96,5_51
P25_106_155,P25,P25_106,00:14:10.359,00:14:10.13,00:14:11.11,42506,42555,put down knife,put-down,1,knife,4,['knife'],[4],1.0,1_4
P10_04_176,P10,P10_04,19:34.1,19:48.9,19:50.8,71332,71450,wash the knife,wash,2,knife,4,['knife'],[4],0.9199999999999999,2_4
P27_101_92,P27,P27_101,03:56.6,03:56.4,03:57.3,11820,11866,close drawer,close,4,drawer,8,['drawer'],[8],0.74,4_8
P01_09_80,P01,P01_09,03:37.9,03:37.8,03:38.9,13068,13134,take spatula,take,0,spatula,20,['spatula'],[20],0.96,0_20
P26_22_21,P26,P26_22,00:02:16.080,00:02:16.05,00:02:19.55,8163,8373,put spoon,put,1,spoon,1,['spoon'],[1],0.76,1_1
P30_05_539,P30,P30_05,40:51.7,40:47.1,40:52.0,146827,147120,top and tail carrot,top,7,carrot:tail,41,['carrot:tail'],[41],1.0,7_41
P16_01_14,P16,P16_01,00:01:12.000,00:01:11.51,00:01:12.78,4290,4366,open the refrigerator,open,3,refrigerator,12,['refrigerator'],[12],1.0,3_12
P06_07_63,P06,P06_07,03:56.9,03:52.9,03:58.9,13976,14336,take tray from under pizza,take-from,0,tray,35,"['tray', 'pizza']","[35, 91]",0.96,0_35
P35_105_216,P35,P35_105,15:16.9,15:16.6,15:20.9,45828,46045,turn on hob,turn-on,6,hob,24,['hob'],[24],0.96,6_24
P04_03_93,P04,P04_03,05:40.8,05:37.7,05:41.9,20260,20515,pick up bacon tray,pick-up,0,tray:bacon,35,['tray:bacon'],[35],0.96,0_35
P02_102_15,P02,P02_102,00:22.4,00:22.5,00:23.6,1126,1180,open fridge,open,3,fridge,12,['fridge'],[12],0.96,3_12
P03_04_83,P03,P03_04,04:39.6,04:36.6,04:44.5,16594,17072,cut onion,cut,7,onion,16,['onion'],[16],1.0,7_16
P11_105_75,P11,P11_105,04:33.9,04:34.9,04:44.4,13744,14221,slice onion,slice,7,onion,16,['onion'],[16],0.84,7_16
P31_08_0,P31,P31_08,00:00:00.550,00:00:00.34,00:00:03.05,20,183,open fridge,open,3,fridge,12,['fridge'],[12],1.0,3_12
P11_103_3,P11,P11_103,00:12.9,00:08.8,00:12.7,439,636,take off lid,take-off,12,lid,6,['lid'],[6],0.84,12_6
P01_107_33,P01,P01_107,00:01:01.353,00:01:01.09,00:01:01.85,3054,3092,open bottle,open,3,bottle,15,['bottle'],[15],1.0,3_15
P03_119_133,P03,P03_119,00:07:35.350,00:07:35.20,00:07:35.53,22760,22776,pick up sponge,pick-up,0,sponge,9,['sponge'],[9],0.84,0_9
P04_109_89,P04,P04_109,03:47.1,03:45.4,03:47.2,11270,11359,grab handful of carrot,grab,0,handful:carrot,41,['handful:carrot'],[41],0.88,0_41
P01_09_101,P01,P01_09,05:35.6,05:34.4,05:35.9,20064,20152,put down bowl,put-down,1,bowl,7,['bowl'],[7],0.92,1_7
P28_06_85,P28,P28_06,06:49.7,06:38.2,06:39.6,23893,23973,turn on tap,turn-on,6,tap,0,['tap'],[0],0.76,6_0
P22_07_646,P22,P22_07,31:04.8,31:04.4,31:05.4,111862,111923,move tap,move,11,tap,0,['tap'],[0],0.92,11_0
P24_08_185,P24,P24_08,13:48.4,13:51.7,13:55.6,49902,50135,stir sauce,stir,10,sauce,47,['sauce'],[47],0.8,10_47
P12_101_293,P12,P12_101,17:02.4,17:01.8,17:02.7,51091,51137,pick up stock from countertop,pick-up,0,stock,95,"['stock', 'countertop']","[95, 42]",1.0,0_95
P23_02_183,P23,P23_02,25:41.0,25:34.3,25:41.9,92055,92515,take the coffee machine,take,0,machine:coffee,50,['machine:coffee'],[50],0.84,0_50
P11_16_0,P11,P11_16,00:01.9,00:00.9,00:02.5,54,150,pick up kettle,pick-up,0,kettle,44,['kettle'],[44],1.0,0_44
P02_101_20,P02,P02_101,00:38.7,00:38.7,00:43.1,1937,2153,pick up bread,pick-up,0,bread,33,['bread'],[33],0.96,0_33
P27_101_161,P27,P27_101,06:56.9,06:56.7,06:57.6,20836,20878,pick up glass,pick-up,0,glass,10,['glass'],[10],1.0,0_10
P04_02_176,P04,P04_02,14:36.9,14:36.7,14:38.8,52602,52725,wash cucumber,wash,2,cucumber,72,['cucumber'],[72],0.8,2_72
P03_101_211,P03,P03_101,08:44.4,08:44.5,08:45.7,26224,26283,turn on tap,turn-on,6,tap,0,['tap'],[0],0.92,6_0
P02_06_116,P02,P02_06,00:04:26.819,00:04:26.82,00:04:27.70,16009,16062,pick up mug,pick-up,0,mug,13,['mug'],[13],0.92,0_13
P01_01_161,P01,P01_01,12:30.0,12:31.6,12:33.1,45097,45189,open salt,open,3,salt,38,['salt'],[38],0.8,3_38
P25_101_66,P25,P25_101,00:04:14.102,00:04:08.71,00:04:10.86,12435,12543,flip meat,flip,22,meat,28,['meat'],[28],1.0,22_28
P04_110_120,P04,P04_110,04:55.9,04:55.1,04:55.9,14755,14796,pick up rice cooker lid,pick-up,0,lid:rice:cooker,6,['lid:rice:cooker'],[6],0.8,0_6
P01_19_42,P01,P01_19,00:02:34.750,00:02:32.56,00:02:34.83,9153,9289,turn on tap,turn-on,6,tap,0,['tap'],[0],0.88,6_0
P28_103_118,P28,P28_103,12:10.4,12:10.2,12:19.8,36509,36990,chop onion,chop,7,onion,16,['onion'],[16],1.0,7_16
P35_105_311,P35,P35_105,24:44.6,24:42.7,24:49.6,74134,74478,stir mushrooms,stir,10,mushroom,56,['mushroom'],[56],0.88,10_56
P24_05_237,P24,P24_05,20:34.9,20:34.1,20:38.0,74047,74280,close oil bottle,close,4,bottle:oil,15,['bottle:oil'],[15],0.48,4_15
P24_05_68,P24,P24_05,06:38.7,06:36.6,06:38.8,23796,23926,put pan on switched on hob,put-on,1,pan,5,"['pan', 'hob']","[5, 24]",1.0,1_5
P03_04_155,P03,P03_04,10:16.4,10:12.4,10:13.7,36745,36820,get stock cubes,get,0,cube:stock,95,['cube:stock'],[95],0.9,0_95
P11_104_58,P11,P11_104,03:45.1,03:43.4,03:46.9,11169,11343,pick up olive oil,pick-up,0,oil:olive,31,['oil:olive'],[31],0.92,0_31
P30_111_339,P30,P30_111,00:14:11.35,00:14:10.86,00:14:11.86,42543,42593,pick up sponge,pick-up,0,sponge,9,['sponge'],[9],0.96,0_9
P30_111_559,P30,P30_111,25:44.6,25:43.8,25:44.6,77191,77228,turn off tap,turn-off,8,tap,0,['tap'],[0],0.68,8_0
P03_04_36,P03,P03_04,00:59.3,00:58.0,00:58.6,3480,3515,close drawer,close,4,drawer,8,['drawer'],[8],0.96,4_8
P27_101_135,P27,P27_101,05:57.9,05:57.3,05:58.2,17866,17912,pick up spoon,pick-up,0,spoon,1,['spoon'],[1],1.0,0_1
P05_01_0,P05,P05_01,00:02.0,00:01.9,00:03.7,115,221,take kettle,take,0,kettle,44,['kettle'],[44],1.0,0_44
P22_103_178,P22,P22_103,00:05:17.850,00:05:16.60,00:05:18.01,15830,15900,rinse plate,rinse,2,plate,2,['plate'],[2],1.0,2_2
P02_03_109,P02,P02_03,05:24.3,05:23.4,05:24.6,19402,19474,pick up kettle,pick-up,0,kettle,44,['kettle'],[44],0.92,0_44
P01_102_86,P01,P01_102,00:03:23.850,00:03:23.69,00:03:25.06,10184,10253,wipe surface,wipe,2,surface,42,['surface'],[42],0.96,2_42
P08_19_19,P08,P08_19,00:01:31.810,00:01:30.44,00:01:31.47,5426,5488,wash hands,wash,2,hand,11,['hand'],[11],0.96,2_11
P25_107_498,P25,P25_107,36:07.4,36:00.1,36:10.5,108006,108526,flip aubergine,flip,22,aubergine,67,['aubergine'],[67],0.96,22_67
P01_09_785,P01,P01_09,52:50.0,52:50.6,52:52.8,190236,190367,put plate into rack,put-into,5,plate,2,"['plate', 'rack']","[2, 110]",0.96,5_2
P01_09_143,P01,P01_09,00:10:50.440,00:10:50.33,00:10:51.25,39019,39075,take sponge,take,0,sponge,9,['sponge'],[9],0.96,0_9
P24_01_43,P24,P24_01,00:06:31.610,00:06:28.59,00:06:34.30,23315,23658,dry hands with duster,dry-with,14,hand,11,"['hand', 'duster']","[11, 52]",1.0,14_11
P22_111_340,P22,P22_111,00:13:35.351,00:13:33.50,00:13:35.24,40675,40762,adjust hob,adjust,17,hob,24,['hob'],[24],0.92,17_24
P04_106_46,P04,P04_106,00:01:54.600,00:01:53.48,00:01:55.02,5673,5751,move bowl,move,11,bowl,7,['bowl'],[7],0.96,11_7
P01_01_38,P01,P01_01,02:04.5,02:02.1,02:07.0,7327,7618,turn on hob,turn-on,6,hob,24,['hob'],[24],0.92,6_24
P22_116_221,P22,P22_116,00:08:12.601,00:08:12.60,00:08:12.95,24630,24647,put down cloth,put-down,1,cloth,17,['cloth'],[17],0.0,1_17
P30_101_190,P30,P30_101,06:04.9,06:03.1,06:10.1,18155,18503,pour water,pour,9,water,27,['water'],[27],0.96,9_27
P06_102_0,P06,P06_102,00:04.7,00:04.2,00:06.2,209,308,open cupboard,open,3,cupboard,3,['cupboard'],[3],0.84,3_3
P22_113_192,P22,P22_113,00:06:33.601,00:06:33.40,00:06:34.15,19670,19707,put down rice,put-down,1,rice,55,['rice'],[55],0.84,1_55
P30_05_271,P30,P30_05,22:08.9,22:06.7,22:08.3,79605,79699,put chopping board,put,1,board:chopping,18,['board:chopping'],[18],1.0,1_18
P03_03_3,P03,P03_03,00:08.3,00:06.5,00:07.3,392,437,take lunch box,take,0,box:lunch,23,['box:lunch'],[23],0.96,0_23
P01_05_56,P01,P01_05,02:46.8,02:46.4,02:47.2,9985,10030,open kettle,open,3,kettle,44,['kettle'],[44],1.0,3_44
P06_09_122,P06,P06_09,17:11.5,17:10.5,17:11.9,61830,61915,take chicken,take,0,chicken,57,['chicken'],[57],0.76,0_57
P35_105_407,P35,P35_105,33:43.6,33:43.5,33:44.4,101174,101217,pick up pan,pick-up,0,pan,5,['pan'],[5],1.0,0_5
P02_109_139,P02,P02_109,10:46.9,10:46.3,10:49.1,32314,32452,take meat,take,0,meat,28,['meat'],[28],1.0,0_28
P28_110_11,P28,P28_110,00:41.2,00:40.8,00:43.0,2041,2150,take clothes,take,0,clothes,73,['clothes'],[73],1.0,0_73
P22_07_184,P22,P22_07,07:29.4,07:28.3,07:33.6,26895,27213,mix onion,mix,10,onion,16,['onion'],[16],1.0,10_16
P25_107_415,P25,P25_107,29:56.4,29:56.3,29:57.5,89815,89877,take fork,take,0,fork,14,['fork'],[14],1.0,0_14
P28_111_35,P28,P28_111,00:01:47.167,00:01:46.39,00:01:47.49,5319,5374,take colander,take,0,colander,39,['colander'],[39],1.0,0_39
P35_105_29,P35,P35_105,01:29.4,01:27.0,01:30.4,4352,4519,pick up container,pick-up,0,container,21,['container'],[21],1.0,0_21
P37_101_241,P37,P37_101,17:23.4,17:23.5,17:24.7,52176,52236,discard garlic skins,discard,13,skin:garlic,48,['skin:garlic'],[48],0.84,13_48
P24_08_225,P24,P24_08,16:33.5,16:32.5,16:34.6,59553,59677,put down knife,put-down,1,knife,4,['knife'],[4],1.0,1_4
P02_101_60,P02,P02_101,02:28.7,02:28.2,02:29.8,7409,7489,put bread in plate,put-in,5,bread,33,"['bread', 'plate']","[33, 2]",1.0,5_33
P01_01_324,P01,P01_01,27:05.6,27:07.1,27:09.7,97624,97782,washing pan,wash,2,pan,5,['pan'],[5],1.0,2_5
P35_109_34,P35,P35_109,01:14.1,01:13.7,01:14.4,3682,3720,close cupboard,close,4,cupboard,3,['cupboard'],[3],0.8,4_3
P03_05_18,P03,P03_05,00:39.2,00:38.6,00:39.1,2314,2344,put rice,put,1,rice,55,['rice'],[55],1.0,1_55
P25_107_121,P25,P25_107,12:53.4,12:53.0,12:54.5,38647,38725,throw peel,throw,13,peel,48,['peel'],[48],0.72,13_48
P04_03_17,P04,P04_03,00:46.5,00:48.6,00:50.7,2919,3043,open dishwasher,open,3,dishwasher,70,['dishwasher'],[70],0.8,3_70
P08_21_232,P08,P08_21,16:25.7,16:28.3,16:29.1,59299,59346,open fridge,open,3,fridge,12,['fridge'],[12],0.72,3_12
P03_112_13,P03,P03_112,00:27.1,00:25.2,00:28.0,1259,1399,pick up mug,pick-up,0,mug,13,['mug'],[13],0.92,0_13
P02_128_44,P02,P02_128,00:01:32.161,00:01:32.21,00:01:32.94,4610,4647,close fridge,close,4,fridge,12,['fridge'],[12],1.0,4_12
P30_05_58,P30,P30_05,04:39.2,04:36.1,04:37.5,16566,16649,move pan,move,11,pan,5,['pan'],[5],0.76,11_5
P01_07_47,P01,P01_07,02:05.1,02:03.7,02:05.3,7419,7515,close fridge,close,4,fridge,12,['fridge'],[12],1.0,4_12
P02_135_113,P02,P02_135,04:16.9,04:15.6,04:17.3,12782,12866,pick up coffee mug,pick-up,0,mug:coffee,13,['mug:coffee'],[13],0.56,0_13
P30_05_378,P30,P30_05,30:27.8,30:22.8,30:31.5,109366,109888,fill pan with water,fill-with,26,pan,5,"['pan', 'water']","[5, 27]",0.88,26_5
P35_103_150,P35,P35_103,00:17:33.866,00:17:33.41,00:17:44.98,52670,53249,rinse colander,rinse,2,colander,39,['colander'],[39],0.92,2_39
P22_07_635,P22,P22_07,30:38.4,30:33.8,30:40.1,110030,110407,rinse sink,rinse,2,sink,63,['sink'],[63],0.96,2_63
P03_109_364,P03,P03_109,00:17:34.850,00:17:35.23,00:17:36.06,52761,52803,pick up cheese and butter,pick-up,0,cheese,32,"['cheese', 'butter']","[32, 78]",0.96,0_32
P28_110_0,P28,P28_110,00:07.7,00:06.8,00:08.5,341,425,open washing machine,open,3,machine:washing,124,['machine:washing'],[124],1.0,3_124
P26_104_92,P26,P26_104,00:07:18.651,00:07:18.09,00:07:23.77,21904,22188,pour oil,pour,9,oil,31,['oil'],[31],0.84,9_31
P01_09_181,P01,P01_09,00:13:12.070,00:13:13.01,00:13:14.01,47580,47640,put down cloth,put-down,1,cloth,17,['cloth'],[17],0.84,1_17
P04_109_138,P04,P04_109,04:55.4,04:55.6,05:01.9,14779,15097,slice cucumber,slice,7,cucumber,72,['cucumber'],[72],1.0,7_72
P01_105_381,P01,P01_105,00:15:01.356,00:15:01.15,00:15:01.80,45057,45090,turn off tap,turn-off,8,tap,0,['tap'],[0],0.68,8_0
P11_104_18,P11,P11_104,00:51.6,00:50.6,00:51.9,2529,2597,put pot on hob,put-on,1,pot,29,"['pot', 'hob']","[29, 24]",1.0,1_29
P12_01_60,P12,P12_01,00:06:14.409,00:06:11.80,00:06:17.67,22308,22660,take garbage,take,0,garbage,54,['garbage'],[54],0.76,0_54
P15_02_35,P15,P15_02,06:25.8,06:32.2,06:57.9,23530,25075,cut onion,cut,7,onion,16,['onion'],[16],1.0,7_16
P03_101_179,P03,P03_101,07:25.9,07:25.3,07:26.7,22265,22332,wash sink,wash,2,sink,63,['sink'],[63],0.86,2_63
P22_117_82,P22,P22_117,02:48.1,02:46.5,02:47.0,8326,8349,turn off tap,turn-off,8,tap,0,['tap'],[0],0.96,8_0
P27_101_95,P27,P27_101,04:02.6,04:01.9,04:04.5,12094,12227,wash hands,wash,2,hand,11,['hand'],[11],1.0,2_11
P01_09_491,P01,P01_09,34:09.3,34:09.2,34:12.4,122951,123146,move plate,move,11,plate,2,['plate'],[2],0.96,11_2
P37_101_349,P37,P37_101,25:13.2,25:12.4,25:14.4,75621,75718,cut cucumbers,cut,7,cucumber,72,['cucumber'],[72],1.0,7_72
P22_07_246,P22,P22_07,11:44.0,11:41.7,11:49.1,42100,42544,stir onion,stir,10,onion,16,['onion'],[16],1.0,10_16
