narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score,combined_class
P24_08_289_2,P03,P03_04,00:04:39.6,00:04:36.6,00:04:44.5,16594,17072,cut onion,cut,1,onion,61,['onion'],[16],0,5.0,5.0,5.0,5.0,5.0,0.0,1_61
P35_105_235_1,P35,P35_105_235_1,00:00:00.000,00:00:00.000,00:00:00.800,1,48,put down cream,put-down,1,cream,143,['cream'],[143],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,1_143
P22_07_635_0,P22,P22_07_635_0,00:00:00.000,00:00:00.000,00:00:06.283,1,377,rinse sink,rinse,2,sink,63,['sink'],[63],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,2_63
P03_04_347,P03,P03_04,00:25:09.5,00:25:07.6,00:25:08.4,90456,90501,put knife,put,1,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,5.0,1.0,1_4
P30_05_539_0,P30,P30_05_539_0,00:00:00.000,00:00:00.000,00:00:04.883,1,293,top and tail carrot,top,7,carrot:tail,41,['carrot:tail'],[41],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,7_41
P04_03_121,P04,P04_03,00:07:44.9,00:07:41.7,00:07:43.5,27701,27808,put on baking tray,put-on,1,tray:baking,35,['tray:baking'],[35],1,4.0,3.0,4.0,4.0,4.0,0.6875,1_35
P12_101_391,P12,P12_101,00:25:30.7,00:25:30.4,00:25:31.7,76522,76585,open tap,turn-on,6,tap,0,['tap'],[0],1,5.0,4.0,4.0,3.0,4.0,0.7240259740259741,6_0
P24_03_41_2,P22,P22_117,00:13:51.1,00:13:50.5,00:13:55.8,41526,41791,stir courgettes,stir,1,courgette,10,['courgette'],[76],0,5.0,5.0,5.0,5.0,5.0,0.0,1_10
P04_121_280_1,P04,P04_121_280_1,00:00:00.000,00:00:00.000,00:00:01.199,1,72,dip sponge in water,dip,66,sponge,9,"['sponge', 'water']","[9, 27]",1,5.0,5.0,4.0,5.0,1.0,0.4256756756756756,66_9
P04_05_276,P04,P04_05,00:30:42.799,00:30:41.58,00:30:44.71,110494,110682,stir pan,stir,10,pan,5,['pan'],[5],1,5.0,5.0,5.0,5.0,5.0,1.0,10_5
P22_117_364,P22,P22_117,00:13:35.1,00:13:34.5,00:13:40.7,40727,41034,stir courgettes,stir,10,courgette,76,['courgette'],[76],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,10_76
P28_103_289_0,P28,P28_103_289_0,00:00:00.000,00:00:00.000,00:00:04.216,1,253,take pot lid,take,0,lid:pot,6,['lid:pot'],[6],1,4.0,1.0,5.0,4.0,3.0,0.3647540983606557,0_6
P03_112_77_2,P05,P05_08,00:07:54.0,00:07:52.9,00:08:31.8,28376,30710,stir salad in saucepan,stir-in,0,salad,4,"['salad', 'saucepan']","[68, 5]",0,5.0,5.0,5.0,5.0,5.0,0.0,0_4
P06_103_35_3,P03,P03_04,00:04:16.0,00:04:14.4,00:04:15.6,15265,15334,put onion in bin,put-in,0,onion,44,"['onion', 'bin']","[16, 36]",0,4.0,4.0,5.0,4.0,4.0,0.0,0_44
P23_02_3_2,P23,P23_02_3_2,00:00:00.000,00:00:00.000,00:00:28.533,1,1712,removing unwanted layer from the onion piece,remove-from,12,piece:onion,16,['piece:onion'],[16],1,5.0,4.0,4.0,5.0,1.0,0.4078947368421053,12_16
P30_101_199_2,P30,P30_101_199_2,00:00:00.000,00:00:00.000,00:00:05.000,1,300,pour water into v60,pour-into,9,water,27,"['water', 'v60']","[27, 50]",1,5.0,4.0,5.0,5.0,1.0,0.4256756756756756,9_27
P30_107_206_1,P30,P30_107_206_1,00:00:00.000,00:00:00.000,00:00:01.183,1,71,pick up colander,pick-up,0,colander,39,['colander'],[39],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,0_39
P29_03_317_0,P29,P29_03_317_0,00:00:00.000,00:00:00.000,00:00:04.000,1,240,rinse knife,rinse,2,knife,4,['knife'],[4],1,4.0,1.0,3.0,3.0,3.0,0.3055555555555556,2_4
P01_09_248_1,P01,P01_09_248_1,00:00:00.000,00:00:00.000,00:00:01.916,1,115,open fridge,open,3,fridge,12,['fridge'],[12],1,4.0,4.0,4.0,4.0,1.0,0.375,3_12
P02_122_194_1,P02,P02_122_194_1,00:00:00.000,00:00:00.000,00:00:01.050,1,63,switch off hob,switch-off,8,hob,24,['hob'],[24],1,4.0,4.0,4.0,5.0,1.0,0.3910256410256411,8_24
P28_06_4,P28,P28_06,00:00:08.3,00:00:08.1,00:00:12.7,485,761,rinse chopping board,rinse,2,board:chopping,18,['board:chopping'],[18],1,5.0,4.0,4.0,5.0,5.0,0.8863636363636362,2_18
P02_03_0,P02,P02_03,00:00:03.8,00:00:02.8,00:00:05.2,165,315,open bag,open,3,bag,19,['bag'],[19],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,3_19
P02_130_322_1,P02,P02_130_322_1,00:00:00.000,00:00:00.000,00:00:00.500,1,30,throw paper in bin,throw-in,13,paper,49,"['paper', 'bin']","[49, 36]",1,4.0,4.0,4.0,5.0,1.0,0.3910256410256411,13_49
P06_101_135_3,P31,P31_05,00:01:27.570,00:01:27.84,00:01:30.69,5270,5441,take cup,take,10,cup,5,['cup'],[13],0,5.0,5.0,5.0,5.0,5.0,0.0,10_5
P25_107_464,P25,P25_107,00:34:06.4,00:34:05.6,00:34:06.7,102278,102334,turn off hob,turn-off,8,hob,24,['hob'],[24],1,5.0,5.0,5.0,5.0,5.0,1.0,8_24
P30_05_581_2,P30,P30_05_581_2,00:00:00.000,00:00:00.000,00:00:03.083,1,185,continue skinning carrot,skin,19,carrot,41,['carrot'],[41],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,19_41
P26_117_17_0,P26,P26_117_17_0,00:00:00.000,00:00:00.000,00:00:00.783,1,47,close cupboard,close,4,cupboard,3,['cupboard'],[3],1,3.0,1.0,4.0,4.0,3.0,0.326923076923077,4_3
P04_110_84_1,P04,P04_110_84_1,00:00:00.000,00:00:00.000,00:00:01.683,1,101,put rice vinegar in cupboard,put-in,5,vinegar:rice,134,"['vinegar:rice', 'cupboard']","[134, 3]",1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,5_134
P06_109_3,P06,P06_109,00:00:15.167,00:00:13.22,00:00:16.00,661,800,take out pizza,take-out,12,pizza,91,['pizza'],[91],1,5.0,5.0,5.0,5.0,5.0,1.0,12_91
P30_05_436_1,P30,P30_05_436_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,rinse chopping board,rinse,2,board:chopping,18,['board:chopping'],[18],1,5.0,5.0,5.0,1.0,5.0,0.4444444444444444,2_18
P35_105_140_1,P35,P35_105_140_1,00:00:00.000,00:00:00.000,00:00:01.733,1,104,move pan,move,11,pan,5,['pan'],[5],1,4.0,4.0,4.0,4.0,1.0,0.375,11_5
P01_07_28_1,P01,P01_07_28_1,00:00:00.000,00:00:00.000,00:00:01.483,1,89,put fry pan into cupboard.,put-into,5,pan:fry,5,"['pan:fry', 'cupboard']","[5, 3]",1,2.0,4.0,3.0,3.0,1.0,0.2672413793103448,5_5
P01_19_52_0,P01,P01_19_52_0,00:00:00.000,00:00:00.000,00:00:00.916,1,55,put down glass,put-down,1,glass,10,['glass'],[10],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,1_10
P10_04_216,P10,P10_04,00:22:57.8,00:22:59.6,00:23:03.0,82774,82979,get some vegetable,get,0,vegetable,94,['vegetable'],[94],1,3.0,3.0,3.0,4.0,4.0,0.5833333333333334,0_94
P35_109_61_0,P35,P35_109_61_0,00:00:00.000,00:00:00.000,00:00:00.833,1,50,put down mug,put-down,1,mug,13,['mug'],[13],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_13
P24_08_225_3,P04,P04_03,00:11:57.7,00:11:55.3,00:11:58.5,42919,43110,put carrot in lunch box,put-in,1,carrot,4,"['carrot', 'box:lunch']","[41, 23]",0,5.0,4.0,5.0,5.0,5.0,0.0,1_4
P08_21_186_0,P08,P08_21_186_0,00:00:00.000,00:00:00.000,00:00:02.033,1,122,open lid,open,3,lid,6,['lid'],[6],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,3_6
P06_101_56_0,P06,P06_101_56_0,00:00:00.000,00:00:00.000,00:00:00.866,1,52,take lid off oil,take-off,12,lid,6,"['lid', 'oil']","[6, 31]",1,3.0,1.0,5.0,4.0,4.0,0.3647540983606557,12_6
P27_101_222_2,P30,P30_101,00:04:41.1,00:04:39.0,00:04:41.6,13951,14081,empty washing up bowl,empty,0,bowl:washing:up,5,['bowl:washing:up'],[7],0,5.0,5.0,5.0,4.0,5.0,0.0,0_5
P35_109_57_1,P35,P35_109_57_1,00:00:00.000,00:00:00.000,00:00:00.650,1,39,pick up mug,pick-up,0,mug,13,['mug'],[13],1,5.0,5.0,4.0,5.0,1.0,0.4256756756756756,0_13
P02_132_68,P02,P02_132,00:02:51.9,00:02:49.7,00:02:53.3,8487,8667,pick up chocolate pieces,pick-up,0,piece:chocolate,188,['piece:chocolate'],[188],1,5.0,5.0,5.0,5.0,5.0,1.0,0_188
P04_05_121_3,P04,P04_121,00:26:21.4,00:26:20.8,00:26:22.8,79042,79140,open freezer,open,65,freezer,24,['freezer'],[113],0,5.0,4.0,5.0,5.0,4.0,0.0,65_24
P23_02_19_2,P23,P23_02_19_2,00:00:00.000,00:00:00.000,00:01:02.166,1,3730,cutting the onion into the small pieces,cut-into,7,onion,16,['onion'],[16],1,4.0,4.0,4.0,5.0,1.0,0.3910256410256411,7_16
P15_02_35_1,P15,P15_02_35_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,cut onion,cut,7,onion,16,['onion'],[16],1,5.0,5.0,5.0,1.0,5.0,0.4444444444444444,7_16
P04_110_256_0,P04,P04_110_256_0,00:00:00.000,00:00:00.000,00:00:00.583,1,35,move piece of tofu with spatula,move-with,11,piece:tofu,81,"['piece:tofu', 'spatula']","[81, 20]",1,5.0,1.0,5.0,4.0,5.0,0.4256756756756756,11_81
P11_101_34_2,P01,P01_09,00:44:49.7,00:44:48.5,00:44:50.9,161308,161451,spread olives onto pizza,spread-onto,12,olive,26,"['olive', 'pizza']","[83, 91]",0,5.0,5.0,5.0,5.0,4.0,0.0,12_26
P02_122_39_0,P02,P02_122_39_0,00:00:00.000,00:00:00.000,00:00:01.950,1,117,crack egg,crack,30,egg,53,['egg'],[53],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,30_53
P02_109_72_0,P02,P02_109_72_0,00:00:00.000,00:00:00.000,00:00:01.083,1,65,throw some onion pieces,throw,13,piece:onion,16,['piece:onion'],[16],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,13_16
P15_02_32_1,P15,P15_02_32_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,put potato in the pan,put-in,5,potato,30,"['potato', 'pan']","[30, 5]",1,5.0,5.0,5.0,1.0,5.0,0.4444444444444444,5_30
P11_01_18_2,P30,P30_05,00:34:29.8,00:34:26.2,00:34:29.4,123971,124162,wash mug,wash,29,mug,13,['mug'],[13],0,4.0,4.0,5.0,5.0,5.0,0.0,29_13
P30_05_119,P30,P30_05,00:09:38.3,00:09:17.1,00:09:38.4,33428,34705,continue chopping ginger,chop,7,ginger,131,['ginger'],[131],1,5.0,5.0,5.0,5.0,5.0,1.0,7_131
P35_105_0_1,P35,P35_105_0_1,00:00:00.000,00:00:00.000,00:00:01.566,1,94,pick up saucepan,pick-up,0,saucepan,5,['saucepan'],[5],1,5.0,5.0,4.0,5.0,1.0,0.4256756756756756,0_5
P22_09_109_0,P22,P22_09_109_0,00:00:00.000,00:00:00.000,00:00:00.933,1,56,put down cloth,put-down,1,cloth,17,['cloth'],[17],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_17
P27_101_245_0,P27,P27_101_245_0,00:00:00.000,00:00:00.000,00:00:00.400,1,24,turn on tap,turn-on,6,tap,0,['tap'],[0],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,6_0
P01_09_25,P01,P01_09,00:00:58.7,00:00:58.7,00:01:00.7,3521,3644,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,5_13
P30_111_358_1,P30,P30_111_358_1,00:00:00.000,00:00:00.000,00:00:01.083,1,65,put down glass,put-down,1,glass,10,['glass'],[10],1,5.0,4.0,4.0,5.0,1.0,0.4078947368421053,1_10
P04_02_245_3,P30,P30_05,00:17:25.9,00:17:22.7,00:17:27.2,62563,62830,stir food,stir,47,food,53,['food'],[34],0,5.0,5.0,5.0,5.0,5.0,0.0,47_53
P22_117_428_1,P22,P22_117_428_1,00:00:00.000,00:00:00.000,00:00:00.833,1,50,close fridge,close,4,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,4_12
P06_07_79_1,P06,P06_07_79_1,00:00:00.000,00:00:00.000,00:00:00.800,1,48,squeeze dough,squeeze,18,dough,25,['dough'],[25],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,18_25
P04_04_21_3,P35,P35_101,00:04:26.352,00:04:26.25,00:04:29.17,13312,13458,put down bag,put-down,2,bag,5,['bag'],[19],0,5.0,4.0,5.0,5.0,4.0,0.0,2_5
P04_02_176_3,P08,P08_21,00:01:57.6,00:01:59.2,00:02:01.5,7153,7288,place plates in cupboard,place-in,2,plate,72,"['plate', 'cupboard']","[2, 3]",0,4.0,5.0,4.0,4.0,4.0,0.0,2_72
P05_08_53_2,P08,P08_21,00:07:25.7,00:07:25.1,00:07:36.0,26704,27358,spoon in mixture,spoon-in,0,mixture,26,['mixture'],[71],0,5.0,4.0,4.0,5.0,4.0,0.0,0_26
P22_117_417_3,P01,P01_05,00:02:26.930,00:02:26.57,00:02:28.43,8794,8905,open cupboard,open,26,cupboard,5,['cupboard'],[3],0,5.0,5.0,5.0,5.0,5.0,0.0,26_5
P01_09_282,P01,P01_09,00:21:38.9,00:21:38.4,00:21:39.3,77904,77958,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0_4
P28_103_68_2,P28,P28_103_68_2,00:00:00.000,00:00:00.000,00:00:03.233,1,194,throw rubbish,throw,13,rubbish,54,['rubbish'],[54],1,5.0,4.0,4.0,4.0,1.0,0.3910256410256411,13_54
P35_109_103_2,P30,P30_101,00:01:01.1,00:01:01.1,00:01:09.4,3056,3470,wash plate,wash,3,plate,12,['plate'],[2],0,5.0,5.0,5.0,5.0,5.0,0.0,3_12
P30_101_147_0,P30,P30_101_147_0,00:00:00.000,00:00:00.000,00:00:00.750,1,45,move chopping board,move,11,board:chopping,18,['board:chopping'],[18],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,11_18
P35_105_353,P35,P35_105,00:27:23.6,00:27:22.8,00:27:38.4,82142,82921,stir mushrooms,stir,10,mushroom,56,['mushroom'],[56],1,5.0,5.0,5.0,5.0,5.0,1.0,10_56
P08_26_47_2,P08,P08_21,00:01:08.0,00:01:05.0,00:01:07.8,3903,4068,take out pan,take-out,2,pan,18,['pan'],[5],0,5.0,5.0,5.0,5.0,5.0,0.0,2_18
P30_111_358_0,P30,P30_111_358_0,00:00:00.000,00:00:00.000,00:00:01.083,1,65,put down glass,put-down,1,glass,10,['glass'],[10],1,5.0,1.0,4.0,5.0,4.0,0.4078947368421053,1_10
P04_04_21_0,P04,P04_04_21_0,00:00:00.000,00:00:00.000,00:00:17.350,1,1041,wash frying pan,wash,2,pan:frying,5,['pan:frying'],[5],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,2_5
P11_104_51_0,P11,P11_104_51_0,00:00:00.000,00:00:00.000,00:00:00.550,1,33,turn off tap,turn-off,8,tap,0,['tap'],[0],1,5.0,1.0,4.0,5.0,5.0,0.4256756756756756,8_0
P01_09_655_2,P01,P01_09_655_2,00:00:00.000,00:00:00.000,00:00:02.616,1,157,close oven,close,4,oven,46,['oven'],[46],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,4_46
P28_103_118_3,P35,P35_105,00:26:36.9,00:26:34.0,00:26:36.7,79700,79835,pick up pan,pick-up,7,pan,16,['pan'],[5],0,5.0,5.0,4.0,5.0,5.0,0.0,7_16
P01_05_146_3,P12,P12_02,00:28:44.5,00:29:42.1,00:30:07.5,106923,108450,cut cucumber,cut,0,cucumber,17,['cucumber'],[72],0,5.0,5.0,5.0,5.0,5.0,0.0,0_17
P27_101_102_1,P27,P27_101_102_1,00:00:00.000,00:00:00.000,00:00:03.000,1,180,rinse glass,rinse,2,glass,10,['glass'],[10],1,4.0,5.0,5.0,1.0,5.0,0.4256756756756756,2_10
P28_09_104_2,P04,P04_110,00:04:55.9,00:04:55.1,00:04:55.9,14755,14796,pick up rice cooker lid,pick-up,2,lid:rice:cooker,4,['lid:rice:cooker'],[6],0,5.0,5.0,2.0,4.0,4.0,0.0,2_4
P03_101_250_1,P03,P03_101_250_1,00:00:00.000,00:00:00.000,00:00:00.683,1,41,move butter,move,11,butter,78,['butter'],[78],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,11_78
P02_123_410_1,P02,P02_123_410_1,00:00:00.000,00:00:00.000,00:00:01.516,1,91,move plate,move,11,plate,2,['plate'],[2],1,4.0,3.0,5.0,1.0,4.0,0.3647540983606557,11_2
P22_07_328_3,P12,P12_101,00:17:42.2,00:17:41.7,00:17:42.5,53084,53126,put down stock container,put-down,1,container:stock,6,['container:stock'],[21],0,5.0,5.0,3.0,5.0,4.0,0.0,1_6
P03_04_176_1,P03,P03_04_176_1,00:00:00.000,00:00:00.000,00:00:01.383,1,83,take onions,take,0,onion,16,['onion'],[16],1,1.0,4.0,2.0,1.0,1.0,0.0833333333333333,0_16
P24_05_28_0,P24,P24_05_28_0,00:00:00.000,00:00:00.000,00:00:03.600,1,216,open pasta,open,3,pasta,45,['pasta'],[45],1,5.0,1.0,5.0,4.0,3.0,0.3802521008403361,3_45
P25_107_12_1,P25,P25_107_12_1,00:00:00.000,00:00:00.000,00:00:01.899,1,114,wash aubergine,wash,2,aubergine,67,['aubergine'],[67],1,5.0,4.0,5.0,1.0,5.0,0.4256756756756756,2_67
P04_109_262_0,P04,P04_109_262_0,00:00:00.000,00:00:00.000,00:00:00.550,1,33,pick up washing up liquid,pick-up,0,liquid:washing:up,22,['liquid:washing:up'],[22],1,5.0,1.0,4.0,4.0,4.0,0.3910256410256411,0_22
P08_21_47,P08,P08_21,00:02:15.2,00:02:15.7,00:02:17.7,8142,8260,place bowl in cupboard,place-in,5,bowl,7,"['bowl', 'cupboard']","[7, 3]",1,5.0,5.0,5.0,5.0,4.0,0.9404761904761904,5_7
P06_101_209_0,P06,P06_101_209_0,00:00:00.000,00:00:00.000,00:00:00.500,1,30,put down can,put-down,1,can,61,['can'],[61],1,5.0,1.0,3.0,5.0,5.0,0.396551724137931,1_61
P04_04_112,P04,P04_04,00:10:57.9,00:11:00.6,00:11:01.6,39637,39694,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,3_3
P01_05_49_0,P01,P01_05_49_0,00:00:00.000,00:00:00.000,00:00:01.850,1,111,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,3_3
P25_107_446_0,P25,P25_107_446_0,00:00:00.000,00:00:00.000,00:00:00.766,1,46,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,4.0,1.0,4.0,3.0,4.0,0.35,3_3
P04_109_131,P04,P04_109,00:04:44.4,00:04:43.8,00:04:45.3,14190,14263,slice cucumber in half,slice-in,7,cucumber,72,['cucumber'],[72],1,5.0,5.0,4.0,5.0,4.0,0.8863636363636362,7_72
P30_05_378,P30,P30_05,00:30:27.8,00:30:22.8,00:30:31.5,109366,109888,fill pan with water,fill-with,26,pan,5,"['pan', 'water']","[5, 27]",1,5.0,3.0,5.0,5.0,4.0,0.806338028169014,26_5
P03_101_319,P03,P03_101,00:12:47.9,00:12:45.7,00:12:49.5,38286,38475,unfurl top,unfurl,39,top,42,['top'],[42],1,5.0,3.0,5.0,5.0,5.0,0.8529411764705883,39_42
P04_121_682,P04,P04_121,00:27:00.6,00:26:59.5,00:27:01.4,80973,81071,pop ice cube out of tray,pop-out,12,cube:ice,189,"['cube:ice', 'tray']","[189, 35]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,12_189
P02_130_322,P02,P02_130,00:17:38.2,00:17:38.2,00:17:38.7,52907,52937,throw paper in bin,throw-in,13,paper,49,"['paper', 'bin']","[49, 36]",1,4.0,4.0,4.0,5.0,4.0,0.7916666666666667,13_49
P02_06_214_0,P02,P02_06_214_0,00:00:00.000,00:00:00.000,00:00:01.750,1,105,pick lettuce,pick,0,lettuce,120,['lettuce'],[120],1,5.0,1.0,5.0,4.0,3.0,0.3802521008403361,0_120
P24_02_84_1,P24,P24_02_84_1,00:00:00.000,00:00:00.000,00:00:01.066,1,64,compress meat,compress,21,meat,28,['meat'],[28],1,5.0,4.0,5.0,1.0,5.0,0.4256756756756756,21_28
P24_08_225_0,P24,P24_08_225_0,00:00:00.000,00:00:00.000,00:00:02.066,1,124,put down knife,put-down,1,knife,4,['knife'],[4],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,1_4
P24_05_128_1,P24,P24_05_128_1,00:00:00.000,00:00:00.000,00:00:01.816,1,109,take bottle sauce,take,0,sauce:bottle,15,['sauce:bottle'],[15],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,0_15
P04_110_120_1,P04,P04_110_120_1,00:00:00.000,00:00:00.000,00:00:00.683,1,41,pick up rice cooker lid,pick-up,0,lid:rice:cooker,6,['lid:rice:cooker'],[6],1,5.0,5.0,2.0,4.0,1.0,0.3313953488372093,0_6
P27_101_66_1,P27,P27_101_66_1,00:00:00.000,00:00:00.000,00:00:01.116,1,67,put down spoon rest,put-down,1,rest:spoon,109,['rest:spoon'],[109],1,5.0,5.0,5.0,5.0,1.0,0.4444444444444444,1_109
P01_09_221_0,P01,P01_09_221_0,00:00:00.000,00:00:00.000,00:00:00.750,1,45,take knife,take,0,knife,4,['knife'],[4],1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,0_4
P02_124_86_0,P02,P02_124_86_0,00:00:00.000,00:00:00.000,00:00:01.183,1,71,put box in cupboard,put-in,5,box,23,"['box', 'cupboard']","[23, 3]",1,5.0,1.0,5.0,5.0,5.0,0.4444444444444444,5_23
P28_103_271_0,P28,P28_103_271_0,00:00:00.000,00:00:00.000,00:00:00.550,1,33,take pepper,take,0,pepper,37,['pepper'],[37],1,4.0,1.0,4.0,4.0,5.0,0.3910256410256411,0_37
P01_09_785_2,P01,P01_09_785_2,00:00:00.000,00:00:00.000,00:00:02.183,1,131,put plate into rack,put-into,5,plate,2,"['plate', 'rack']","[2, 110]",1,5.0,4.0,5.0,5.0,1.0,0.4256756756756756,5_2
P35_105_224,P35,P35_105,00:15:35.7,00:15:35.0,00:15:36.1,46747,46807,pick up container,pick-up,0,container,21,['container'],[21],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0_21
P22_07_5_2,P05,P05_08,00:13:20.0,00:13:20.3,00:13:21.7,48020,48100,pour pasta in container,pour-in,0,pasta,49,"['pasta', 'container']","[45, 21]",0,4.0,3.0,5.0,4.0,4.0,0.0,0_49
P04_121_245_2,P02,P02_130,00:16:52.7,00:16:52.5,00:16:53.3,50625,50664,pick up knife,pick-up,1,knife,7,['knife'],[4],0,5.0,5.0,5.0,5.0,5.0,0.0,1_7
P30_101_209,P30,P30_101,00:07:13.1,00:07:13.3,00:07:14.1,21663,21706,eat pitta piece,eat,35,piece:pitta,33,['piece:pitta'],[33],1,5.0,5.0,3.0,2.0,2.0,0.4711538461538461,35_33
