narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score,tsn_top1_action,tsn_top5_action,tsn_top1_verb,tsn_top5_verb,tsn_top1_noun,tsn_top5_noun,avion_top1_action,avion_top5_action,avion_top1_verb,avion_top5_verb,avion_top1_noun,avion_top5_noun
P01_09_144,P01,P01_09,00:10:53.5,00:10:52.0,00:10:55.9,39121,39353,rinse sponge,rinse,2,sponge,9,['sponge'],[9],1,4.0,4.0,4.0,4.0,2.0,0.5833333333333334,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_167,P01,P01_09,00:12:36.3,00:12:35.4,00:12:41.3,45324,45680,rinse spatula,rinse,2,spatula,20,['spatula'],[20],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_173,P01,P01_09,00:12:58.6,00:12:58.1,00:13:02.4,46685,46944,wash bowl,wash,2,bowl,7,['bowl'],[7],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_181,P01,P01_09,00:13:12.070,00:13:13.01,00:13:14.01,47580,47640,put down cloth,put-down,1,cloth,17,['cloth'],[17],1,5.0,5.0,5.0,4.0,2.0,0.6759259259259258,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_221,P01,P01_09,00:17:02.3,00:17:02.3,00:17:03.1,61338,61383,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_239,P01,P01_09,00:18:36.5,00:18:36.0,00:18:36.9,66957,67013,open container,open,3,container,21,['container'],[21],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_248,P01,P01_09,00:18:53.2,00:18:56.6,00:18:58.5,68197,68312,open fridge,open,3,fridge,12,['fridge'],[12],1,4.0,4.0,4.0,4.0,4.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_25,P01,P01_09,00:00:58.7,00:00:58.7,00:01:00.7,3521,3644,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_275,P01,P01_09,00:21:15.9,00:21:15.9,00:21:16.8,76551,76610,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]",1,4.0,4.0,4.0,3.0,4.0,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_282,P01,P01_09,00:21:38.9,00:21:38.4,00:21:39.3,77904,77958,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_316,P01,P01_09,00:23:40.5,00:23:51.1,00:23:52.9,85864,85974,pour,pour,9,mushroom,56,['mushroom'],[56],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
P01_09_346,P01,P01_09,00:25:41.6,00:25:42.0,00:25:42.9,92521,92572,open fridge,open,3,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_355,P01,P01_09,00:26:04.5,00:26:04.1,00:26:05.9,93848,93953,move plate,move,11,plate,2,['plate'],[2],1,4.0,5.0,4.0,4.0,5.0,0.8369565217391306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_376,P01,P01_09,00:27:47.7,00:27:47.7,00:27:48.9,100062,100131,take salt,take,0,salt,38,['salt'],[38],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_402,P01,P01_09,00:29:33.4,00:29:32.9,00:29:34.1,106371,106444,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_417,P01,P01_09,00:30:21.4,00:30:20.9,00:30:22.1,109251,109326,take scissors,take,0,scissors,79,['scissors'],[79],1,5.0,4.0,5.0,5.0,3.0,0.806338028169014,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_438,P01,P01_09,00:31:29.2,00:31:29.1,00:31:30.1,113344,113408,take scissors,take,0,scissors,79,['scissors'],[79],1,4.0,5.0,3.0,4.0,4.0,0.7240259740259741,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_448,P01,P01_09,00:32:02.4,00:32:02.4,00:32:03.6,115343,115418,put scissors into drawer,put-into,5,scissors,79,"['scissors', 'drawer']","[79, 8]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_45,P01,P01_09,00:01:55.9,00:01:54.7,00:01:57.2,6883,7033,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,4.0,5.0,5.0,4.0,0.8863636363636362,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_452,P01,P01_09,00:32:17.1,00:32:17.3,00:32:19.8,116240,116386,flip aubergine,flip,22,aubergine,67,['aubergine'],[67],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_469,P01,P01_09,00:33:08.6,00:33:07.7,00:33:10.0,119259,119399,put aubergine onto plate,put-onto,1,aubergine,67,"['aubergine', 'plate']","[67, 2]",1,5.0,5.0,4.0,5.0,4.0,0.8863636363636362,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_476,P01,P01_09,00:33:30.4,00:33:21.5,00:33:22.6,120093,120157,put aubergine onto plate,put-onto,1,aubergine,67,"['aubergine', 'plate']","[67, 2]",1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_48,P01,P01_09,00:02:06.2,00:02:05.6,00:02:06.9,7534,7616,put down box,put-down,1,box,23,['box'],[23],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_491,P01,P01_09,00:34:09.3,00:34:09.2,00:34:12.4,122951,123146,move plate,move,11,plate,2,['plate'],[2],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_508,P01,P01_09,00:35:27.6,00:35:25.0,00:35:28.5,127499,127709,take dough,take,0,dough,25,['dough'],[25],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_522,P01,P01_09,00:36:37.4,00:36:36.8,00:36:39.3,131811,131961,unroll,unroll,39,bag:flour,19,['bag:flour'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_528,P01,P01_09,00:37:07.4,00:37:05.5,00:37:24.7,133530,134684,spread dough,spread,27,dough,25,['dough'],[25],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_540,P01,P01_09,00:38:06.2,00:38:06.5,00:38:10.1,137190,137408,spread onions onto dough,spread-onto,27,onion,16,"['onion', 'dough']","[16, 25]",1,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_552,P01,P01_09,00:38:42.7,00:38:40.6,00:38:57.0,139237,140220,open mozzarella bag,open,3,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_571,P01,P01_09,00:40:15.759,00:40:06.05,00:40:26.85,144363,145611,place mushrooms onto dough,place-onto,1,mushroom,56,"['mushroom', 'dough']","[56, 25]",1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_581,P01,P01_09,00:40:50.8,00:40:49.9,00:40:51.6,146995,147099,move mozzarella bag,move,11,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_595,P01,P01_09,00:42:09.5,00:42:08.8,00:42:10.9,151731,151854,put dough onto tray,put-onto,1,dough,25,"['dough', 'tray']","[25, 35]",1,4.0,5.0,4.0,4.0,5.0,0.8369565217391306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_599,P01,P01_09,00:42:22.8,00:42:23.1,00:42:24.2,152586,152650,put down sauce,put-down,1,sauce,47,['sauce'],[47],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_635,P01,P01_09,00:44:49.7,00:44:48.5,00:44:50.9,161308,161451,spread olives onto pizza,spread-onto,27,olive,83,"['olive', 'pizza']","[83, 91]",1,5.0,5.0,5.0,5.0,4.0,0.9404761904761904,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_646,P01,P01_09,00:45:13.8,00:45:07.7,00:45:08.6,162459,162517,take onion,take,0,onion,16,['onion'],[16],1,4.0,3.0,3.0,2.0,3.0,0.4642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_655,P01,P01_09,00:45:38.9,00:45:38.1,00:45:40.7,164283,164440,close oven,close,4,oven,46,['oven'],[46],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_69,P01,P01_09,00:03:17.9,00:03:17.6,00:03:20.4,11855,12024,pour salt,pour,9,salt,38,['salt'],[38],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P01_09_738,P01,P01_09,00:50:15.0,00:50:14.2,00:50:16.7,180851,181001,pour washing up liquid,pour,9,liquid:washing:up,22,['liquid:washing:up'],[22],1,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
