narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score,tsn_raw_logit_verb,tsn_raw_logit_noun,tsn_raw_logit_action,avion_raw_logit_action,avion_raw_logit_verb,avion_raw_logit_noun
P01_09_476,P01,P01_09,00:33:30.4,00:33:21.5,00:33:22.6,120093,120157,put aubergine onto plate,put-onto,1,aubergine,67,"['aubergine', 'plate']","[67, 2]",1,5.0,5.0,5.0,5.0,5.0,1.0,0.94978374,0.99974006,0.94953686,0.647,0.711,0.6616
P01_09_48,P01,P01_09,00:02:06.2,00:02:05.6,00:02:06.9,7534,7616,put down box,put-down,1,box,23,['box'],[23],1,5.0,5.0,5.0,5.0,5.0,1.0,0.51112777,0.3442312,0.17594612,0.7666,0.8105,0.785
P01_09_491,P01,P01_09,00:34:09.3,00:34:09.2,00:34:12.4,122951,123146,move plate,move,11,plate,2,['plate'],[2],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761904,0.67250556,0.072824106,0.048974615,0.7114,0.801,0.722
P01_09_508,P01,P01_09,00:35:27.6,00:35:25.0,00:35:28.5,127499,127709,take dough,take,0,dough,25,['dough'],[25],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.4261152,0.97808766,0.41677803,0.6533,0.7266,0.6846
P01_09_522,P01,P01_09,00:36:37.4,00:36:36.8,00:36:39.3,131811,131961,unroll,unroll,39,bag:flour,19,['bag:flour'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0,0.94380176,0.9807371,0.9256214,0.76,0.7607,0.799
P01_09_528,P01,P01_09,00:37:07.4,00:37:05.5,00:37:24.7,133530,134684,spread dough,spread,27,dough,25,['dough'],[25],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.8845311,0.9999764,0.8845102,0.8716,0.875,0.8833
P01_09_540,P01,P01_09,00:38:06.2,00:38:06.5,00:38:10.1,137190,137408,spread onions onto dough,spread-onto,27,onion,16,"['onion', 'dough']","[16, 25]",1,5.0,5.0,5.0,5.0,5.0,1.0,0.27587095,0.99851865,0.2754623,0.7456,0.756,0.7876
P01_09_552,P01,P01_09,00:38:42.7,00:38:40.6,00:38:57.0,139237,140220,open mozzarella bag,open,3,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0,0.96969706,0.9896428,0.95965374,0.785,0.81,0.7983
P01_09_571,P01,P01_09,00:40:15.759,00:40:06.05,00:40:26.85,144363,145611,place mushrooms onto dough,place-onto,1,mushroom,56,"['mushroom', 'dough']","[56, 25]",1,5.0,5.0,5.0,5.0,5.0,1.0,0.7299702,0.98309064,0.71762687,0.7617,0.8115,0.8022
P01_09_581,P01,P01_09,00:40:50.8,00:40:49.9,00:40:51.6,146995,147099,move mozzarella bag,move,11,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0,0.35937282,0.983182,0.35332888,0.742,0.783,0.7886
P01_09_595,P01,P01_09,00:42:09.5,00:42:08.8,00:42:10.9,151731,151854,put dough onto tray,put-onto,1,dough,25,"['dough', 'tray']","[25, 35]",1,4.0,5.0,4.0,4.0,5.0,0.8369565217391306,0.8237205,0.85117275,0.7011284,0.8945,0.9067,0.9155
P01_09_599,P01,P01_09,00:42:22.8,00:42:23.1,00:42:24.2,152586,152650,put down sauce,put-down,1,sauce,47,['sauce'],[47],1,5.0,5.0,5.0,5.0,5.0,1.0,0.5757323,0.966725,0.5565748,0.7915,0.839,0.8037
P01_09_635,P01,P01_09,00:44:49.7,00:44:48.5,00:44:50.9,161308,161451,spread olives onto pizza,spread-onto,27,olive,83,"['olive', 'pizza']","[83, 91]",1,5.0,5.0,5.0,5.0,4.0,0.9404761904761904,0.65660894,0.789988,0.5187132,0.839,0.846,0.8496
P01_09_646,P01,P01_09,00:45:13.8,00:45:07.7,00:45:08.6,162459,162517,take onion,take,0,onion,16,['onion'],[16],1,4.0,3.0,3.0,2.0,3.0,0.4642857142857143,0.98094547,0.99729973,0.97829664,0.673,0.7373,0.694
P01_09_655,P01,P01_09,00:45:38.9,00:45:38.1,00:45:40.7,164283,164440,close oven,close,4,oven,46,['oven'],[46],1,5.0,5.0,5.0,5.0,5.0,1.0,0.67987114,0.99712986,0.6779198,0.7197,0.74,0.7275
P01_09_69,P01,P01_09,00:03:17.9,00:03:17.6,00:03:20.4,11855,12024,pour salt,pour,9,salt,38,['salt'],[38],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9996598,0.9994411,0.99910104,0.607,0.629,0.6353
P01_09_738,P01,P01_09,00:50:15.0,00:50:14.2,00:50:16.7,180851,181001,pour washing up liquid,pour,9,liquid:washing:up,22,['liquid:washing:up'],[22],1,5.0,5.0,5.0,5.0,5.0,1.0,0.9792422,0.9988901,0.9781554,0.697,0.712,0.7056
P01_09_77,P01,P01_09,00:03:31.1,00:03:30.4,00:03:32.0,12624,12722,take measuring cup,take,0,cup:measuring,13,['cup:measuring'],[13],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.43097895,0.9879023,0.4257651,0.7715,0.8076,0.778
P01_09_777,P01,P01_09,00:52:10.099,00:52:10.26,00:52:12.83,187815,187969,take pan,take,0,pan,5,['pan'],[5],1,5.0,5.0,5.0,5.0,5.0,1.0,0.45716146,0.9940469,0.45443994,0.6626,0.721,0.678
P01_09_785,P01,P01_09,00:52:50.0,00:52:50.6,00:52:52.8,190236,190367,put plate into rack,put-into,5,plate,2,"['plate', 'rack']","[2, 110]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.15611131,0.9799565,0.1529823,0.7827,0.8076,0.805
P01_09_80,P01,P01_09,00:03:37.9,00:03:37.8,00:03:38.9,13068,13134,take spatula,take,0,spatula,20,['spatula'],[20],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.33881596,0.00012362593,4.1886437e-05,0.662,0.726,0.669
P01_09_830,P01,P01_09,00:55:36.1,00:55:33.7,00:55:37.5,200025,200250,wash hands,wash,2,hand,11,['hand'],[11],1,3.0,4.0,3.0,4.0,4.0,0.6323529411764707,0.9110425,0.78731483,0.7172773,0.6675,0.6875,0.673
P01_09_85,P01,P01_09,00:03:55.0,00:03:53.5,00:04:08.3,14012,14900,stir,stir,10,flour,75,['flour'],[75],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.99999356,0.99822885,0.9982224,0.7734,0.792,0.776
P01_09_872,P01,P01_09,00:59:05.3,00:58:54.6,00:59:03.1,212077,212586,take pizza slice,take,0,slice:pizza,91,['slice:pizza'],[91],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.32769457,0.9993616,0.32748535,0.6294,0.7,0.72
P01_102_120,P01,P01_102,00:04:23.602,00:04:23.61,00:04:24.82,13180,13241,take lid,take,0,lid,6,['lid'],[6],1,5.0,5.0,5.0,5.0,4.0,0.9404761904761904,0.56449974,0.46348327,0.2616362,0.6924,0.755,0.713
P01_102_86,P01,P01_102,00:03:23.850,00:03:23.69,00:03:25.06,10184,10253,wipe surface,wipe,2,surface,42,['surface'],[42],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761904,0.9423818,0.92180955,0.8686966,0.6753,0.702,0.6772
P01_103_23,P01,P01_103,00:00:43.4,00:00:42.0,00:00:43.8,2101,2192,pick up cutlery,pick-up,0,cutlery,58,['cutlery'],[58],1,4.0,5.0,4.0,4.0,4.0,0.7916666666666667,0.972169,0.017579876,0.01709061,0.7925,0.8516,0.801
P01_103_3,P01,P01_103,00:00:10.6,00:00:10.5,00:00:11.9,524,597,put plate into cupboard,put-into,5,plate,2,"['plate', 'cupboard']","[2, 3]",1,5.0,5.0,5.0,5.0,5.0,1.0,0.28483182,0.9989944,0.2845454,0.7427,0.788,0.7754
