narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,action_presence,camera_motion,lighting,focus,action_completeness,object_presence,quality_score
P01_05_173,P01,P01_05,00:11:32.5,00:11:31.8,00:11:32.4,41505,41544,adjust hob,adjust,17,hob,24,['hob'],[24],1,4.0,4.0,4.0,4.0,3.0,0.6875
P01_05_176,P01,P01_05,00:11:46.2,00:11:45.9,00:11:47.0,42351,42417,adjust hob,adjust,17,hob,24,['hob'],[24],1,4.0,4.0,5.0,5.0,4.0,0.8369565217391306
P01_05_179,P01,P01_05,00:12:06.4,00:12:06.0,00:12:15.6,43559,44136,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_05_185,P01,P01_05,00:13:09.1,00:13:08.1,00:13:09.2,47286,47353,put down tongs,put-down,1,tongs,142,['tongs'],[142],1,4.0,4.0,4.0,5.0,5.0,0.8369565217391306
P01_05_188,P01,P01_05,00:13:19.4,00:13:19.8,00:13:20.6,47988,48033,put down spoon,put-down,1,spoon,1,['spoon'],[1],1,3.0,5.0,4.0,4.0,4.0,0.7240259740259741
P01_05_195,P01,P01_05,00:15:56.0,00:15:52.4,00:15:55.3,57142,57319,take lighter,take,0,lighter,130,['lighter'],[130],1,4.0,4.0,3.0,4.0,3.0,0.6323529411764707
P01_05_204,P01,P01_05,00:16:22.2,00:16:22.4,00:16:23.4,58945,59001,flip sausage,flip,22,sausage,86,['sausage'],[86],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_05_222,P01,P01_05,00:18:29.9,00:18:19.8,00:18:26.7,65986,66404,turn sausage,turn,23,sausage,86,['sausage'],[86],1,4.0,5.0,5.0,5.0,4.0,0.8863636363636362
P01_05_239,P01,P01_05,00:19:54.9,00:19:54.4,00:19:55.1,71666,71707,take sausages,take,0,sausage,86,['sausage'],[86],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_05_25,P01,P01_05,00:01:22.0,00:01:21.4,00:01:22.8,4882,4965,take glass,take,0,glass,10,['glass'],[10],1,4.0,5.0,4.0,5.0,5.0,0.9134199134199134
P01_05_49,P01,P01_05,00:02:26.930,00:02:26.57,00:02:28.43,8794,8905,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_05_56,P01,P01_05,00:02:46.8,00:02:46.4,00:02:47.2,9985,10030,open kettle,open,3,kettle,44,['kettle'],[44],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_05_70,P01,P01_05,00:03:17.889,00:03:17.68,00:03:19.20,11860,11952,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_05_94,P01,P01_05,00:05:11.0,00:05:11.1,00:05:11.7,18666,18700,throw skin into bin,throw-into,13,skin,48,"['skin', 'bin']","[48, 36]",1,5.0,3.0,5.0,4.0,2.0,0.5926966292134831
P01_07_0,P01,P01_07,00:00:01.6,00:00:00.7,00:00:01.5,42,89,switch on lights,switch-on,6,light,114,['light'],[114],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_07_28,P01,P01_07,00:01:16.9,00:01:15.4,00:01:16.9,4526,4615,put fry pan into cupboard.,put-into,5,pan:fry,5,"['pan:fry', 'cupboard']","[5, 3]",1,2.0,4.0,3.0,3.0,2.0,0.40217391304347827
P01_07_43,P01,P01_07,00:01:53.5,00:01:52.4,00:01:57.4,6741,7043,pour soy milk into cup,pour-into,9,milk:soy,64,"['milk:soy', 'cup']","[64, 13]",1,5.0,5.0,5.0,4.0,5.0,0.9404761904761905
P01_07_47,P01,P01_07,00:02:05.1,00:02:03.7,00:02:05.3,7419,7515,close fridge,close,4,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_0,P01,P01_09,00:00:01.1,00:00:01.1,00:00:03.0,68,180,adjust lights,adjust,17,light,114,['light'],[114],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_101,P01,P01_09,00:05:35.6,00:05:34.4,00:05:35.9,20064,20152,put down bowl,put-down,1,bowl,7,['bowl'],[7],1,5.0,4.0,5.0,4.0,5.0,0.8863636363636362
P01_09_135,P01,P01_09,00:10:22.3,00:10:20.5,00:10:21.8,37233,37308,take timer,take,0,timer,111,['timer'],[111],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_143,P01,P01_09,00:10:50.440,00:10:50.33,00:10:51.25,39019,39075,take sponge,take,0,sponge,9,['sponge'],[9],1,5.0,5.0,5.0,4.0,5.0,0.9404761904761905
P01_09_144,P01,P01_09,00:10:53.5,00:10:52.0,00:10:55.9,39121,39353,rinse sponge,rinse,2,sponge,9,['sponge'],[9],1,4.0,4.0,4.0,4.0,2.0,0.5833333333333334
P01_09_167,P01,P01_09,00:12:36.3,00:12:35.4,00:12:41.3,45324,45680,rinse spatula,rinse,2,spatula,20,['spatula'],[20],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_173,P01,P01_09,00:12:58.6,00:12:58.1,00:13:02.4,46685,46944,wash bowl,wash,2,bowl,7,['bowl'],[7],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_181,P01,P01_09,00:13:12.070,00:13:13.01,00:13:14.01,47580,47640,put down cloth,put-down,1,cloth,17,['cloth'],[17],1,5.0,5.0,5.0,4.0,2.0,0.6759259259259258
P01_09_221,P01,P01_09,00:17:02.3,00:17:02.3,00:17:03.1,61338,61383,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_239,P01,P01_09,00:18:36.5,00:18:36.0,00:18:36.9,66957,67013,open container,open,3,container,21,['container'],[21],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_248,P01,P01_09,00:18:53.2,00:18:56.6,00:18:58.5,68197,68312,open fridge,open,3,fridge,12,['fridge'],[12],1,4.0,4.0,4.0,4.0,4.0,0.75
P01_09_25,P01,P01_09,00:00:58.7,00:00:58.7,00:01:00.7,3521,3644,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_275,P01,P01_09,00:21:15.9,00:21:15.9,00:21:16.8,76551,76610,put down cutting board and knife,put-down,1,board:cutting,18,"['board:cutting', 'knife']","[18, 4]",1,4.0,4.0,4.0,3.0,4.0,0.6875
P01_09_282,P01,P01_09,00:21:38.9,00:21:38.4,00:21:39.3,77904,77958,take knife,take,0,knife,4,['knife'],[4],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_09_316,P01,P01_09,00:23:40.5,00:23:51.1,00:23:52.9,85864,85974,pour,pour,9,mushroom,56,['mushroom'],[56],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_346,P01,P01_09,00:25:41.6,00:25:42.0,00:25:42.9,92521,92572,open fridge,open,3,fridge,12,['fridge'],[12],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_355,P01,P01_09,00:26:04.5,00:26:04.1,00:26:05.9,93848,93953,move plate,move,11,plate,2,['plate'],[2],1,4.0,5.0,4.0,4.0,5.0,0.8369565217391306
P01_09_376,P01,P01_09,00:27:47.7,00:27:47.7,00:27:48.9,100062,100131,take salt,take,0,salt,38,['salt'],[38],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_402,P01,P01_09,00:29:33.4,00:29:32.9,00:29:34.1,106371,106444,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_09_417,P01,P01_09,00:30:21.4,00:30:20.9,00:30:22.1,109251,109326,take scissors,take,0,scissors,79,['scissors'],[79],1,5.0,4.0,5.0,5.0,3.0,0.806338028169014
P01_09_438,P01,P01_09,00:31:29.2,00:31:29.1,00:31:30.1,113344,113408,take scissors,take,0,scissors,79,['scissors'],[79],1,4.0,5.0,3.0,4.0,4.0,0.7240259740259741
P01_09_448,P01,P01_09,00:32:02.4,00:32:02.4,00:32:03.6,115343,115418,put scissors into drawer,put-into,5,scissors,79,"['scissors', 'drawer']","[79, 8]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_45,P01,P01_09,00:01:55.9,00:01:54.7,00:01:57.2,6883,7033,dry hands,dry,14,hand,11,['hand'],[11],1,5.0,4.0,5.0,5.0,4.0,0.8863636363636362
P01_09_452,P01,P01_09,00:32:17.1,00:32:17.3,00:32:19.8,116240,116386,flip aubergine,flip,22,aubergine,67,['aubergine'],[67],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_469,P01,P01_09,00:33:08.6,00:33:07.7,00:33:10.0,119259,119399,put aubergine onto plate,put-onto,1,aubergine,67,"['aubergine', 'plate']","[67, 2]",1,5.0,5.0,4.0,5.0,4.0,0.8863636363636362
P01_09_476,P01,P01_09,00:33:30.4,00:33:21.5,00:33:22.6,120093,120157,put aubergine onto plate,put-onto,1,aubergine,67,"['aubergine', 'plate']","[67, 2]",1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_48,P01,P01_09,00:02:06.2,00:02:05.6,00:02:06.9,7534,7616,put down box,put-down,1,box,23,['box'],[23],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_491,P01,P01_09,00:34:09.3,00:34:09.2,00:34:12.4,122951,123146,move plate,move,11,plate,2,['plate'],[2],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_09_508,P01,P01_09,00:35:27.6,00:35:25.0,00:35:28.5,127499,127709,take dough,take,0,dough,25,['dough'],[25],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_522,P01,P01_09,00:36:37.4,00:36:36.8,00:36:39.3,131811,131961,unroll,unroll,39,bag:flour,19,['bag:flour'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_528,P01,P01_09,00:37:07.4,00:37:05.5,00:37:24.7,133530,134684,spread dough,spread,27,dough,25,['dough'],[25],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_540,P01,P01_09,00:38:06.2,00:38:06.5,00:38:10.1,137190,137408,spread onions onto dough,spread-onto,27,onion,16,"['onion', 'dough']","[16, 25]",1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_552,P01,P01_09,00:38:42.7,00:38:40.6,00:38:57.0,139237,140220,open mozzarella bag,open,3,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_571,P01,P01_09,00:40:15.759,00:40:06.05,00:40:26.85,144363,145611,place mushrooms onto dough,place-onto,1,mushroom,56,"['mushroom', 'dough']","[56, 25]",1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_581,P01,P01_09,00:40:50.8,00:40:49.9,00:40:51.6,146995,147099,move mozzarella bag,move,11,bag:mozzarella,19,['bag:mozzarella'],[19],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_595,P01,P01_09,00:42:09.5,00:42:08.8,00:42:10.9,151731,151854,put dough onto tray,put-onto,1,dough,25,"['dough', 'tray']","[25, 35]",1,4.0,5.0,4.0,4.0,5.0,0.8369565217391306
P01_09_599,P01,P01_09,00:42:22.8,00:42:23.1,00:42:24.2,152586,152650,put down sauce,put-down,1,sauce,47,['sauce'],[47],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_635,P01,P01_09,00:44:49.7,00:44:48.5,00:44:50.9,161308,161451,spread olives onto pizza,spread-onto,27,olive,83,"['olive', 'pizza']","[83, 91]",1,5.0,5.0,5.0,5.0,4.0,0.9404761904761905
P01_09_646,P01,P01_09,00:45:13.8,00:45:07.7,00:45:08.6,162459,162517,take onion,take,0,onion,16,['onion'],[16],1,4.0,3.0,3.0,2.0,3.0,0.4642857142857143
P01_09_655,P01,P01_09,00:45:38.9,00:45:38.1,00:45:40.7,164283,164440,close oven,close,4,oven,46,['oven'],[46],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_69,P01,P01_09,00:03:17.9,00:03:17.6,00:03:20.4,11855,12024,pour salt,pour,9,salt,38,['salt'],[38],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_738,P01,P01_09,00:50:15.0,00:50:14.2,00:50:16.7,180851,181001,pour washing up liquid,pour,9,liquid:washing:up,22,['liquid:washing:up'],[22],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_77,P01,P01_09,00:03:31.1,00:03:30.4,00:03:32.0,12624,12722,take measuring cup,take,0,cup:measuring,13,['cup:measuring'],[13],1,5.0,4.0,5.0,5.0,5.0,0.9702380952380952
P01_09_777,P01,P01_09,00:52:10.099,00:52:10.26,00:52:12.83,187815,187969,take pan,take,0,pan,5,['pan'],[5],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_09_785,P01,P01_09,00:52:50.0,00:52:50.6,00:52:52.8,190236,190367,put plate into rack,put-into,5,plate,2,"['plate', 'rack']","[2, 110]",1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_80,P01,P01_09,00:03:37.9,00:03:37.8,00:03:38.9,13068,13134,take spatula,take,0,spatula,20,['spatula'],[20],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_830,P01,P01_09,00:55:36.1,00:55:33.7,00:55:37.5,200025,200250,wash hands,wash,2,hand,11,['hand'],[11],1,3.0,4.0,3.0,4.0,4.0,0.6323529411764707
P01_09_85,P01,P01_09,00:03:55.0,00:03:53.5,00:04:08.3,14012,14900,stir,stir,10,flour,75,['flour'],[75],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_09_872,P01,P01_09,00:59:05.3,00:58:54.6,00:59:03.1,212077,212586,take pizza slice,take,0,slice:pizza,91,['slice:pizza'],[91],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_102_120,P01,P01_102,00:04:23.602,00:04:23.61,00:04:24.82,13180,13241,take lid,take,0,lid,6,['lid'],[6],1,5.0,5.0,5.0,5.0,4.0,0.9404761904761905
P01_102_86,P01,P01_102,00:03:23.850,00:03:23.69,00:03:25.06,10184,10253,wipe surface,wipe,2,surface,42,['surface'],[42],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P01_103_23,P01,P01_103,00:00:43.4,00:00:42.0,00:00:43.8,2101,2192,pick up cutlery,pick-up,0,cutlery,58,['cutlery'],[58],1,4.0,5.0,4.0,4.0,4.0,0.7916666666666667
P01_103_3,P01,P01_103,00:00:10.6,00:00:10.5,00:00:11.9,524,597,put plate into cupboard,put-into,5,plate,2,"['plate', 'cupboard']","[2, 3]",1,5.0,5.0,5.0,5.0,5.0,1.0
P01_103_68,P01,P01_103,00:02:03.1,00:02:01.0,00:02:04.6,6050,6229,put cereals into cupboard,put-into,5,cereal,99,"['cereal', 'cupboard']","[99, 3]",1,4.0,4.0,4.0,4.0,3.0,0.8139880952380952
P01_103_73,P01,P01_103,00:02:10.1,00:02:09.2,00:02:10.2,6461,6508,pick up food container,pick-up,0,container:food,21,['container:food'],[21],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_104_16,P01,P01_104,00:00:32.9,00:00:32.3,00:00:33.7,1616,1686,squeeze sponge,squeeze,18,sponge,9,['sponge'],[9],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_104_6,P01,P01_104,00:00:18.1,00:00:17.9,00:00:18.8,896,942,open drawer,open,3,drawer,8,['drawer'],[8],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_104_68,P01,P01_104,00:02:58.3,00:02:58.1,00:02:59.1,8906,8953,put down sponge,put-down,1,sponge,9,['sponge'],[9],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_104_9,P01,P01_104,00:00:22.9,00:00:22.7,00:00:23.3,1137,1167,take sponge,take,0,sponge,9,['sponge'],[9],1,5.0,5.0,4.0,4.0,4.0,0.8887163561076605
P01_105_104,P01,P01_105,00:03:11.100,00:03:10.95,00:03:11.45,9547,9572,put courgette dice into wok,put-into,5,dice:courgette,76,"['dice:courgette', 'wok']","[76, 5]",1,5.0,5.0,5.0,4.0,5.0,0.9404761904761905
P01_105_180,P01,P01_105,00:06:39.351,00:06:39.03,00:06:39.75,19951,19987,put down lid,put-down,1,lid,6,['lid'],[6],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_105_194,P01,P01_105,00:06:51.601,00:06:51.59,00:06:52.13,20579,20606,close fridge,close,4,fridge,12,['fridge'],[12],1,5.0,4.0,5.0,4.0,5.0,0.8863636363636362
P01_105_381,P01,P01_105,00:15:01.356,00:15:01.15,00:15:01.80,45057,45090,turn off tap,turn-off,8,tap,0,['tap'],[0],1,3.0,4.0,3.0,4.0,3.0,0.5833333333333334
P01_105_596,P01,P01_105,00:23:53.851,00:23:53.41,00:24:13.53,71670,72676,stir food,stir,10,food,34,['food'],[34],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_105_638,P01,P01_105,00:26:21.604,00:26:21.55,00:26:23.28,79077,79164,pick up kettle,pick-up,0,kettle,44,['kettle'],[44],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_107_33,P01,P01_107,00:01:01.353,00:01:01.09,00:01:01.85,3054,3092,open bottle,open,3,bottle,15,['bottle'],[15],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_107_56,P01,P01_107,00:01:45.356,00:01:45.06,00:01:46.03,5253,5301,put spoon into cup,put-into,5,spoon,1,"['spoon', 'cup']","[1, 13]",1,5.0,4.0,4.0,5.0,4.0,0.9184782608695653
P01_109_641,P01,P01_109,00:48:09.350,00:48:09.43,00:48:09.75,144471,144487,turn on tap,turn-on,6,tap,0,['tap'],[0],1,5.0,5.0,5.0,4.0,5.0,0.9404761904761905
P01_109_648,P01,P01_109,00:48:19.600,00:48:18.94,00:48:20.75,144947,145037,pick up bowl,pick-up,0,bowl,7,['bowl'],[7],1,5.0,4.0,4.0,4.0,4.0,0.7916666666666667
P01_109_706,P01,P01_109,00:51:54.100,00:51:53.62,00:51:57.02,155681,155851,flip omelette,flip,22,omelette,162,['omelette'],[162],1,5.0,5.0,5.0,5.0,4.0,0.9404761904761905
P01_17_100,P01,P01_17,00:07:00.110,00:07:00.16,00:07:12.02,25209,25921,grate carrots,grate,77,carrot,41,['carrot'],[41],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_18_520,P01,P01_18,00:41:54.400,00:41:52.48,00:41:54.23,150748,150853,put down sponge,put-down,1,sponge,9,['sponge'],[9],1,5.0,5.0,5.0,5.0,5.0,1.0
P01_18_585,P01,P01_18,00:50:20.910,00:49:49.13,00:50:30.03,179347,181801,still stirring food,stir,10,food,34,['food'],[34],1,5.0,5.0,5.0,4.0,5.0,0.9404761904761905
P01_18_611,P01,P01_18,00:53:57.930,00:53:56.20,00:53:58.20,194172,194292,put down spoon,put-down,1,spoon,1,['spoon'],[1],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_18_96,P01,P01_18,00:07:37.300,00:07:34.91,00:07:35.82,27294,27349,open cupboard,open,3,cupboard,3,['cupboard'],[3],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_19_42,P01,P01_19,00:02:34.750,00:02:32.56,00:02:34.83,9153,9289,turn on tap,turn-on,6,tap,0,['tap'],[0],1,5.0,4.0,3.0,5.0,5.0,0.806338028169014
P01_19_52,P01,P01_19,00:03:16.459,00:03:15.87,00:03:16.79,11752,11807,put down glass,put-down,1,glass,10,['glass'],[10],1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
P01_19_68,P01,P01_19,00:03:48.769,00:03:46.98,00:03:53.73,13618,14023,wash ladle,wash,2,ladle,97,['ladle'],[97],1,5.0,5.0,5.0,5.0,5.0,1.0
P02_01_0,P02,P02_01,00:00:03.2,00:00:02.3,00:00:04.0,138,240,walk to sink,walk,67,sink,63,['sink'],[63],1,5.0,5.0,3.0,4.0,4.0,0.7635135135135134
P02_01_10,P02,P02_01,00:00:24.9,00:00:23.7,00:00:26.1,1421,1564,pick mug,pick,0,mug,13,['mug'],[13],1,5.0,5.0,5.0,5.0,5.0,1.0
P02_01_18,P02,P02_01,00:00:46.7,00:00:43.8,00:00:45.4,2630,2724,remove bag from cereal,remove-from,12,bag,19,"['bag', 'cereal']","[19, 99]",1,5.0,5.0,5.0,5.0,4.0,0.9404761904761905
P02_01_22,P02,P02_01,00:00:54.6,00:00:53.7,00:00:54.9,3223,3296,close bag,close,4,bag,19,['bag'],[19],1,5.0,5.0,5.0,4.0,4.0,0.8863636363636362
P02_01_78,P02,P02_01,00:02:57.7,00:02:54.9,00:02:57.4,10496,10643,put water filter,put,1,filter:water,66,['filter:water'],[66],1,5.0,5.0,5.0,5.0,5.0,1.0
P02_03_0,P02,P02_03,00:00:03.8,00:00:02.8,00:00:05.2,165,315,open bag,open,3,bag,19,['bag'],[19],1,5.0,4.0,5.0,5.0,5.0,0.9404761904761905
P02_03_109,P02,P02_03,00:05:24.3,00:05:23.4,00:05:24.6,19402,19474,pick up kettle,pick-up,0,kettle,44,['kettle'],[44],1,5.0,4.0,4.0,5.0,5.0,0.8863636363636362
P02_03_123,P02,P02_03,00:05:51.0,00:05:49.9,00:05:57.6,20995,21453,put pot on stove,put-on,1,pot,29,"['pot', 'stove']","[29, 24]",1,5.0,5.0,4.0,5.0,5.0,0.9404761904761905
